Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Banila Co,"Banila Co Curly Studio All Day Rise Mascara, 01 Curly & Volume (2020 formulation)",02,Mascara,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Talc, Ceresin, Disteardimonium Hectorite, Microcrystalline Wax, Dextrin Palmitate/Ethylhexanoate, Iron Oxides (CI 77499), Polypropylsilsesquioxane, Propylene Carbonate, Hydrogenated Polyisobutene, Aluminum Distearate, Dextrin Palmitate, Polymethylsilsesquioxane, Triethoxycaprylylsilane, Glyceryl Caprylate, Silica, Argania Spinosa Kernel Oil, Biotin, Camellia Japonica Seed Oil, Copernicia Cerifera (Carnauba) Wax, Methyl Hydrogenated Rosinate, Niacinamide, Olea Europaea (Olive) Fruit Oil, Panthenol, Perlite","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Curly Studio All Day Rise Mascara, 02 Curly & Long (2020 formulation)",02,Mascara,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Talc, Ceresin, Disteardimonium Hectorite, Dextrin Palmitate/Ethylhexanoate, Microcrystalline Wax, Iron Oxides (CI 77499), Polypropylsilsesquioxane, Propylene Carbonate, Hydrogenated Polyisobutene, Nylon-66, Aluminum Distearate, Silica Silylate, Polymethylsilsesquioxane, Glyceryl Caprylate, Triethoxycaprylylsilane, Silica, Titanium Dioxide (CI 77891), Argania Spinosa Kernel Oil, Bambusa Arundinacea Stem Powder, Biotin, Camellia Japonica Seed Oil, Methyl Hydrogenated Rosinate, Niacinamide, Olea Europaea (Olive) Fruit Oil, Panthenol, Perlite","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Clean It Zero Cleansing Balm, Original (2020 formulation)",03,Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Onsen-Sui, Phenoxyethanol, Butylene Glycol, Lithospermum Erythrorhizon Root Extract, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Clean It Zero Cleansing Balm Original, Marble Edition (2020 formulation)",03,Makeup Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Onsen-Sui, Phenoxyethanol, Butylene Glycol, Lithospermum Erythrorhizon Root Extract, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Eyecrush Spangle Pigment, Brown Latte (2020 formulation)",03,Eye Shadow,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Calcium Aluminum Borosilicate, Talc, Triethylhexanoin, Nylon-12, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Magnesium Myristate, Magnesium Stearate, Hydrogenated Castor Oil Isostearate, Propanediol, Synthetic Fluorphlogopite, Tin Oxide (CI 77861), Dimethicone, Iron Oxides (CI 77492), Beeswax, Iron Oxides (CI 77491), Iron Oxides (CI 77499)","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Eyecrush Spangle Pigment, Gilded Girl (2020 formulation)",03,Eye Shadow,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Calcium Aluminum Borosilicate, Talc, Triethylhexanoin, Nylon-12, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Magnesium Myristate, Magnesium Stearate, Hydrogenated Castor Oil Isostearate, Propanediol, Synthetic Fluorphlogopite, Tin Oxide (CI 77861), Dimethicone, Iron Oxides (CI 77492), Beeswax, Iron Oxides (CI 77491), Iron Oxides (CI 77499)","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Eyecrush Spangle Pigment, Diamond Dust (2020 formulation)",03,Eye Shadow,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Calcium Aluminum Borosilicate, Talc, Triethylhexanoin, Nylon-12, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Magnesium Myristate, Magnesium Stearate, Hydrogenated Castor Oil Isostearate, Propanediol, Synthetic Fluorphlogopite, Tin Oxide (CI 77861), Dimethicone, Iron Oxides (CI 77492), Beeswax, Iron Oxides (CI 77491), Iron Oxides (CI 77499)","Product's animal testing policies,Unknown"
Banila Co,"Banila Co Eyecrush Spangle Pigment, Sugar Sand (2020 formulation)",03,Eye Shadow,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Calcium Aluminum Borosilicate, Talc, Triethylhexanoin, Nylon-12, Polyglyceryl-2 Triisostearate, Titanium Dioxide (CI 77891), Magnesium Myristate, Magnesium Stearate, Hydrogenated Castor Oil Isostearate, Propanediol, Synthetic Fluorphlogopite, Tin Oxide (CI 77861), Dimethicone, Iron Oxides (CI 77492), Beeswax, Iron Oxides (CI 77491), Iron Oxides (CI 77499)","Product's animal testing policies,Unknown"
Banila Co,"Banila Co V-V Vitalizing Sheet Mask, Biocellulose Sheet Mask (2020 formulation)",04,Mask,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Water, Cocos Nucifera (Coconut) Oil, Ethylhexyl Stearate, Butylene Glycol, Glycerin, PEG-450, Cetearyl Alcohol, Hydroxyacetophenone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Caffeine, Tromethamine, Caprylyl Glycol, Ethylhexylglycerin, Sodium Dilauramidoglutamide Lysine, Fragrance(Parfum), Disodium EDTA, 1,2-Hexanediol, Solanum Lycopersicum (Tomato) Fruit Extract, Hydrolyzed Collagen, Punica Granatum Extract, Althaea Rosea Flower Extract, Dipropylene Glycol, Wine Extract, Sorbitan Laurate, Tremella Fuciformis (Mushroom) Extract, Phenoxyethanol, Ethyl Hexanediol, Carbomer, Hydrolyzed Extensin, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Lactobacillus/Soybean Extract Ferment Filtrate, Natto Gum, Polysorbate 20, Chlorphenesin, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Cyclohexasiloxane, Silk Amino Acids","Product's animal testing policies,Unknown"
Banila Co,Banila Co Hi Bye Vita-Peel Exfoliating Scrub (2020 formulation),04,Exfoliant/Scrub,MODERATE,MODERATE,HIGH,HIGH,"Ingredients from packaging:
Hydrogenated Castor Oil, Betaine, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Carbomer, Citrus Limon (Lemon) Peel Powder, Citrus Aurantium Dulcis (Orange) Oil, Phenoxyethanol, Butylene Glycol, Chlorphenesin, Ethylhexylglycerin, Tromethamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylyl Glycol, Disodium EDTA, Polyglutamic Acid, Cyanocobalamin, Prunus Armeniaca (Apricot) Fruit Extract, Glyceryl Linoleate, Citrus Limon (Lemon) Fruit Extract, Sodium Lactate, Glyceryl Arachidonate, Glyceryl Linolenate, Sodium PCA, Glycerin, Citric Acid, Actinidia Chinensis (Kiwi) Fruit Extract, 1,2-Hexanediol, Glycolic Acid, Malic Acid, Lactic Acid, Rubus Idaeus (Raspberry) Fruit Extract, Pyruvic Acid, Thiamine HCl, Niacin, Biotin, Riboflavin, Tartaric Acid, Folic Acid, Tocopherol, Carnitine HCl, Ascorbic Acid, Pantothenic Acid, Retinyl Palmitate","Product's animal testing policies,Unknown"
