Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
BOTAO,BOTAO Baby Strawberry Flavored Toothpaste,EWG Verified,Baby Toothpaste,,,,,"Ingredients from packaging:
Xylitol, Aqua, Glycerin, Silica, Xanthan Gum, Sodium Benzoate, Potassium Sorbate, Citric acid, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Aloe barbadensis leaf juice, Fragaria Chiloensis (Strawberry) Fruit Extract
Warnings from packaging:
Do not use the product if there is a known sensitivity to one of its ingredients. Use this product only for the purpose it is intended for and in accordance with the directions for use. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Baby Leaves Science Training Toothpaste Fluoride-Free, Strawberry",EWG Verified,Baby Toothpaste,,,,,"Ingredients from packaging:
Aqua/water/eau, sorbitol, glycerin, hydrated silica, decyl glucoside, sodium chloride, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, potassium sorbate, caprylic/capric triglyceride, 3-hexenol (green leaves), vanillin, methyl cinnamate (strawberry), carica papaya (papaya) leaf extract, camellia sinensis (green tea) leaf extract
Warnings from packaging:
Use as directed. Safe is swallowed.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Aramoon,"Aramoon Bebe Baby's Xylitol Toothpaste, Fluoride Free Blueberry",EWG Verified,Baby Toothpaste,,,,,"Ingredients from packaging:
HYDRATED SILICA, SORBITOL, ASCORBIC ACID, SODIUM PCA, XYLITOL, CELLULOSE GUM, GLYCERIN, CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CALENDULA OFFICINALIS FLOWER EXTRACT, ANTHEMIS NOBILIS FLOWER EXTRACT, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, WATER
Warnings from packaging:
1) Be careful not to swallow it, and rinse your mouth thoroughly after use.2) In case of abnormality such as gum or mouth damage caused by use of toothpaste, discontinue use and consult a doctor or dentist.3) For children under 6 years of age, use a small amount of pea toothpaste per serving and use it under the supervision of a guardian to avoid eating or swallowing.4) If a child under 6 years old has swallowed a large amount, consult a doctor immediately.5) Keep out of reach of children under 6 years old.","EWG Verified,Product's animal testing policies,Unknown"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Flavor Free",01,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Vegetable Glycerin (Coconut derived), Silica, Xanthan Gum, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Blueberry",02,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Glycerin (Coconut derived), Silica, Organic Blueberry Flavor (Vaccinium Angustifolium), Xanthan Gum, Organic Calendula Officinalis Extract, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
Tom&#39;s of Maine,"Tom's of Maine, Children's Fluoride Toothpaste, Silly Strawberry",02,Baby Toothpaste,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
,GLYCERIN, WATER, CALCIUM CARBONATE, HYDRATED SILICA, NATURAL FLAVOR*, CARRAGEENAN, SODIUM LAURYL SULFATE *STRAWBERRY JUICE AND OTHER NATURAL FLAVOR","Product's animal testing policies,PETA: Companies That Do Test on Animals"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Strawberry",02,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Glycerin (Coconut derived), Silica, Organic Strawberry Flavor (Fragaria Chiloensis), Xanthan Gum, Organic Calendula Officinalis Extract, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Raspberry",02,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Glycerin (Coconut derived), Silica, Organic Raspberry Flavor (Rubus Idaeus), Xanthan Gum, Organic Calendula Officinalis Extract, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Blackcurrant",02,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Glycerin (Coconut derived), Silica, Organic Blackcurrant Flavor (Ribes Nigrum), Xanthan Gum, Organic Calendula Officinalis Extract, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
Firefly,"Firefly Fluoride Free Training Toothpaste, Strawberry, Strawberry",02,Baby Toothpaste,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
SORBITOL, WATER, HYDRATED SILICA, XYLITOL, GLYCERIN, XANTHAN GUM, FLAVOR, SODIUM BICARBONATE","Product's animal testing policies,Unknown"
Burt&#39;s Bees,"Burt's Bees Kids, Fluoride Free, Toothpaste, Bubble Bee, Bubble Bee",02,Baby Toothpaste,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
GLYCERIN, WATER, HYDRATED SILICA, SODIUM COCOYL GLUTAMATE, FLAVOR*, XANTHAN GUM, CARRAGEENAN, STEVIA REBAUDIANA EXTRACT, TITANIUM DIOXIDE","Product's animal testing policies,Unknown"
,Dr. Brown's Natural Baby Tooth & Gum Wipes,02,Baby Toothpaste,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
water, xylitol, vitis vinifera, (grape) fruit extract, polyaminopropyl, biguanide, citric acid and sodium benzoate","Product's animal testing policies,Unknown"
Jack N&#39; Jill,"Jack N' Jill Natural Toothpaste, Banana",02,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Xylitol, Purified Water, Glycerin (Coconut derived), Silica, Organic Banana Flavor (Musa Paradisiaca), Xanthan Gum, Organic Calendula Officinalis Extract, Potassium Sorbate (Naturally derived), Citric Acid
Warnings from packaging:
N/A","Product's animal testing policies,PETA Cruelty-free Companies"
,"Made by Dentists Fluoride Anticavity Toothpaste for Kids, Monster Slime",03,Baby Toothpaste,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Active Ingredients: Sodium Fluoride 0.24%; Inactive Ingredients: GLYCERIN, WATER (AQUA), HYDRATED SILICA, SORBITOL, XYLITOL, FLAVOR, COCAMIDOPROPYL BETAINE, XANTHAN GUM, STEVIA REBAUDIANA LEAF EXTRACT, BIXA ORELLANA SEED EXTRACT, CHLOROPHYLLIN-COPPER COMPLEX","Product's animal testing policies,Unknown"
Burt&#39;s Bees,"Burt's Bees Fluoride Free Baby Training Toothpaste, Mild Fruit",03,Baby Toothpaste,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
: Glycerin, Water, Hydrated Silica, Benzyl Alcohol, Flavor (Orange Oil and Other Natural Flavor), Xanthan Gum, Carrageenan, Stevia Rebaudiana Extract, Citric Acid.","Product's animal testing policies,Unknown"
Burt&#39;s Bees,"Burt's Bees Fluoride Free Toothpaste for Kids, Fruit Fusion, Fruit Fusion",03,Baby Toothpaste,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
GLYCERIN, WATER/EAU, HYDRATED SILICA, SODIUM COCOYL GLUTAMATE, AROMA*, XANTHAN GUM, CARRAGEENAN, STEVIA REBAUDIANA EXTRACT, TITANIUM DIOXIDE","Product's animal testing policies,Unknown"
Crest,"Crest Disney Encanto Fluoride Anticavity Toothpaste, Bubblegum",03,Baby Toothpaste,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Active Ingredients: Sodium fluoride (0.15% w/v fluoride ion) 0.243%; Inactive Ingredients: SORBITOL, WATER, HYDRATED SILICA, SODIUM LAURYL SULFATE, FLAVOR, CELLULOSE GUM, SODIUM SACCHARIN, SODIUM PHOSPHATE, TRISODIUM PHOSPHATE, CARBOMER, RED 28","Product's animal testing policies,PETA Cruelty-free Companies"
Crest,"Crest Marvel Spider Man Fluoride Anticavity Toothpaste, Strawberry",03,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Active Ingredients: Sodium fluoride (0.15% w/v fluoride ion) 0.243%; Inactive Ingredients: SORBITOL, WATER, HYDRATED SILICA, SODIUM LAURYL SULFATE, TRISODIUM PHOSPHATE, SODIUM PHOSPHATE, CELLULOSE GUM, FLAVOR, SODIUM SACCHARIN, CARBOMER, RED 40","Product's animal testing policies,PETA Cruelty-free Companies"
Baby Orajel,Baby Orajel Fruity Fun for 3 24 Months Tooth & Gum Cleanser,03,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
WATER, SORBITOL, PROPYLENE GLYCOL, GLYCERIN, CELLULOSE GUM, POLOXAMER 407, FLAVOR, SIMETHICONE, POTASSIUM SORBATE, SODIUM SACCHARIN, CITRIC ACID","Product's animal testing policies,Unknown"
Colgate,"Colgate Zero Toothpaste, Mild Fruit",03,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Propylene Glycol, Glycerin, Water, Sorbitol, Hydrated Silica, Poloxamer 407, Cellulose Gum, Citric Acid, Flavor","Product's animal testing policies,PETA: Companies That Do Test on Animals"
,Kid's Crest Cavity Protection Fluoride Anticavity Toothpaste,03,Baby Toothpaste,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Active Ingredients: Sodium fluoride
(0.15% w/v fluoride ion) 0.243%; Inactive Ingredients: SORBITOL, WATER, HYDRATED SILICA, SODIUM LAURYL SULFATE, TRISODIUM PHOSPHATE, CELLULOSE GUM, FLAVOR, SODIUM PHOSPHATE, SODIUM SACCHARIN, CARBOMER, RED 28","Product's animal testing policies,Unknown"
Colgate,"Colgate My First Toothpaste, Mild Fruit",03,Baby Toothpaste,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
PROPYLENE GLYCOL, GLYCERIN, HYDRATED SILICA, SORBITOL, WATER, POLOXAMER 407, CELLULOSE GUM, SODIUM SACCHARIN, CITRIC ACID, FLAVOR","Product's animal testing policies,PETA: Companies That Do Test on Animals"
