Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
,"Alba Smooth & Soothe Conditioner, Hemp Seed Oil",04,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water (Aqua), Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Cetyl Alcohol, Stearyl Alcohol, Behentrimonium Chloride, Aloe Barbadensis Leaf Juice(1), Cocos Nucifera (Coconut) Oil(1), Butyrospermum Parkii (Shea) Butter Unsaponifiables, Cannabis Sativa Seed Oil, Shea Butter Ethyl Esters, Soybean Glycerides, Betula Alba Juice, Chenopodium Quinoa Seed(1), Lawsonia Inermis (Henna) Flower/Fruit/Leaf Extract, Phyllanthus Emblica Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract(1), Urtica Dioica (Nettle) Leaf Extract(1), Ascorbyl Palmitate, Biotin, Panthenol, Caprylic/Capric Triglyceride, Citric Acid, Cyamopsis Tetragonoloba (Guar) Gum(1), Gamma-Decalactone, Guar Hydroxypropyltrimonium Chloride, Isopropyl Alcohol, Maltodextrin, Sodium Citrate, Sodium Hydroxide, Triethyl Citrate, Alcohol(1), Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Beta Ionone, Geraniol.","Product's animal testing policies,Unknown"
Artnaturals,"artnaturals Tea Tree Conditioner, Green",04,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water (Aqua), Cetearyl Alcohol, Isohexadecane, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Behentrimonium Methosulfate, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Phenoxyethanol, Amodimethicone, Citric Acid, Mentha Piperita (Peppermint) Oil, Menthol, Polysorbate 20, Argania Spinosa (Argan) Kernel Oil, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ethylhexylglycerin, Cetrimonium Chloride, Cyclopentasiloxane, Trideceth-12, Polyacrylamidopropyltrimonium Chloride, Polyquaternium-113, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Hydrolyzed Rice Protein","Product's animal testing policies,Unknown"
Pantene,Pantene Strengthen Booster Treatment,04,Conditioner,MODERATE,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, STEARYL ALCOHOL, SILICONE QUATERNIUM-26, BEHENTRIMONIUM CHLORIDE, CETYL ALCOHOL, BENZYL ALCOHOL, DISODIUM EDTA, PANTHENOL, HISTIDINE, CITRIC ACID, PANTHENYL ETHYL ETHER, BIOTIN, SODIUM HYDROXIDE, ARGANIA SPINOSA KERNEL OIL, METHYLCHLOROISOTHIAZOLINONE, METHYLISOTHIAZOLINONE, YELLOW 5, RED 33","Product's animal testing policies,PETA Cruelty-free Companies"
Ouidad,Ouidad MOISTURE LOCK ALL CURLS Leave-In Conditioner,04,Conditioner,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Aqua (Water), Cetyl PEG/PPG-10/1 Dimethicone, Glycerin, Cetyl Alcohol, Behentrimonium Methosulfate, Cetearyl Alcohol, Amodimethicone, Arnica Montana Flower Extract, Camellia Sinensis Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Opuntia Ficus-Indica Stem Extract, Panthenol, Tocopheryl Acetate, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Polyquaternium-59, Stearyl Alcohol, Parfum (Fragrance), Butylene Glycol, PVP, Hydroxyethylcellulose, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol, Citronellol, Coumarin, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Limonene","Product's animal testing policies,Unknown"
Softee,Softee Coconut Oil Hair & Scalp Conditioner,04,Conditioner,MODERATE,HIGH,LOW,MODERATE,"Ingredients from packaging:
WHITE PETROLATUM USP, COCOS NUCIFERA (COCONUT) OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, FRAGRANCE, BENZYL ALCOHOL, BENZYL BENZOATE, BHT","Product's animal testing policies,Unknown"
Kiss My Face,"Kiss My Face Conditioner, Smooth & Glow",04,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Stearamidopropyl Dimethylamine, Glycerin, Myristyl Lactate, Behentrimonium Chloride, Lauryl Alcohol, Myristyl Alcohol, C15-19 Alkane, Fragrance (Parfum)*, Lactic Acid, Isopropyl Myristate, Sodium Phytate, Sodium Hyaluronate, Caryocar Brasiliense Fruit Oil, Orbignya Oleifera Seed Oil, Papaver Orientale (Poppy) Seed Oil, Sodium Benzoate, Potassium Sorbate","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Suave,"Suave Kids 3-in-1 Pump Shampoo + Conditioner + Body Wash, Natural Lavender",04,Body Wash/Cleanser,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), COCAMIDOPROPYL BETAINE, SODIUM METHYL COCOYL TAURATE, SODIUM CHLORIDE, SODIUM BENZOATE, CITRIC ACID, COCONUT ACID, STEARAMIDOPROPYL DIMETHYLAMINE, FRAGRANCE (PARFUM), POLYQUATERNIUM-10, DISODIUM EDTA, PPG-9, LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER EXTRACT, LINALOOL","Product's animal testing policies,Unknown"
Inahsi Naturals,"Inahsi Naturals CoWash, Tropical Escape",04,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua (Distilled Water), Aloe Barbadensis Leaf Juice (Aloe Vera Juice), Vegetable Glycerin, Cocus nucifera (Coconut) Oil, Persea gratissima (Avocado) Oil, Panthenol-DL (Pro Vitamin B5), Coco Betaine, Hydrolyzed Oats, Centrimonium Chloride, Cetearyl Alcohol, Cetyl Alcohol, Behentrimonium Methosulfate, Hyaluronic Acid, Urtica dioica (Nettle) Extract, Equisetum hyemale (Horsetail) Extract, Capryl Gycol , Phenoxyethanol, Sorbic acid, Natural Fragrances.","Product's animal testing policies,PETA: Companies That Do Test on Animals"
Old Spice,Old Spice 2 in 1 Moisturizing Shampoo & Conditioner,04,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, SODIUM COCOYL ISETHIONATE, LAURAMIDOPROPYL BETAINE, COCAMIDOPROPYL BETAINE, SODIUM LAUROYL SARCOSINATE, FRAGRANCE, SODIUM BENZOATE, POLYQUATERNIUM-10, SODIUM SALICYLATE, DIMETHICONOL, SODIUM CITRATE, CITRIC ACID, TETRASODIUM EDTA, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, COCOS NUCIFERA (COCONUT) OIL","Product's animal testing policies,PETA Cruelty-free Companies"
Better Not Younger,Better Not Younger Wake Up Call Volumizing Conditioner,04,Conditioner,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Aqua (Deionized Water), Cetearyl Alcohol, Propanediol, Cetearyl Olivate, Sorbitan Olivate, Glycerin, Amodimethicone, Trideceth-12, Cetyl Esters, Dimethicone, Argania Spinosa (Argan) Oil, Dl-Panthenol, Biotin, Bambusa Vulgaris (Bamboo) Extract, Arcticum Lappa (Burdock) Root Extract, Butylene Glycol, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1, Copper Tripeptide-1, Menthyl Lactate, Tocopheryl Acetate (Vitamin E), Salvia Officinalis (Sage) Extract, Humulus Lupulus (Hops) Extract, Olea Europaea (Olive) Oil, Camellia Sinensis (Green Tea) Extract, Parfum (Fragrance), Phenoxyethanol, Ethylhexylglycerin.","Product's animal testing policies,Leaping Bunny"
Garnier,Garnier Fructis Sleek & Shine Glass Hair Water Treatment,04,Conditioner,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
1269539 FS4, PROPYLENE GLYCOL, ALCOHOL DENAT., CETYL ALCOHOL, STEARAMIDOPROPYL DIMETHYLAMINE, FRAGRANCE, DICAPRYLYL CARBONATE, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, DICAPRYLYL ETHER, LINALOOL, BENZYL ALCOHOL, LIMONENE, AQUA / WATER, ARGANIA SPINOSA KERNEL OIL, PENTYLENE GLYCOL, HYDROLYZED SOY PROTEIN, TOCOPHEROL, FIL T288580/1","Product's animal testing policies,PETA: Companies That Do Test on Animals"
Curl Mix,Curlmix Curly Hair Grape Seed Conditioner with Ultra Slip and Lavender Fragrance,04,Conditioner,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Deionized Water, Organic Grape Seed Oil, Behentrimonium Methosulfate, Organic Vegetable Glycerin, Slippery Elm Extract, Cetyl Alcohol, Cetearyl Alcohol, Caesalpinia Spinosa Gum, Fragrance (Phthalate Free), Optiphen PLUS Preservative (Phenoxyethanol, Caprylyl Glycol, and Sorbic Acid)","Product's animal testing policies,Unknown"
Peach,"Peach Conditioner Bar, Moisturizing",04,Conditioner,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Behentrimonium methosulfate (coconut derived), cetearyl alcohol, cocos nucifera (coconut) oil,* helianthus annuus (sunflower) seed oil,* butyrospermum parkii (shea butter),* Pentanedione, methylcyclopentenolone, proprietary ingredient, dimethylhydroxy furanone, gamma-decalactone, ethyl butyrate, anisaldehyde, gamma octalactone, vanillin, ethyl hydroxypyrone coumarin, benzyl salicylate, gamma-nonalactone, triethyl citrate.,** guar hydroxypropyltrimonium chloride, orbignya oleifera (babassu) seed oil, mica, titanium dioxide, tin dioxide, iron oxide, ultramarine blue","Product's animal testing policies,Unknown"
