Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Sally B&#39;s Skin Yummies,Sally B's Skin Yummies Natural Buff Cuticle Bar,EWG Verified,Cuticle Treatment,,,,,"Ingredients from packaging:
Organic Butyrospermum Parkii (Shea Butter) Fruit, Organic Beeswax, Organic Olea Europaea (Olive) Oil, Organic Prunus Amygdalus Dulcis (Sweet Almond) Oil, Organic Persea Gratissima (Avocado) Oil, Equisetum Arvense, Tocopherol, May contain organic or wild-crafted essential oils of Lemongrass, Sage, Orange, Ginger and Geranium
Warnings from packaging:
Discontinue if irritation develops","EWG Verified,Product's animal testing policies,Leaping Bunny"
MiniLuxe,MiniLuxe Nourishing Oil,EWG Verified,Cuticle Treatment,,,,,"Ingredients from packaging:
Olea Europaea Fruit Oil, Persea Gratissima Oil, Helianthus Annuus Seed Oil, Oryza Sativa Bran Oil, Prunus Armeniaca Kernel Oil, Vitis vinifera Seed Oil, Simmondsia Chinensis Seed Oil, Ricinus Communis Seed Oil, Tocopherol, Lavandula Angustifolia Oil, Melaleuca Alternifolia Leaf Oil, Citrus Medica Limonum Peel Oil, Rosmarinus Officinalis Leaf Extract
Warnings from packaging:
Common sense warnings. This is a non-toxic product.Keep out of reach of small childred to avoid consumption. Keep out of eyes.","EWG Verified,Product's animal testing policies,Leaping Bunny"
,"Rowe Casa Orgainics, Nail & Cuticle Oil",01,Cuticle Treatment,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
ORGANIC CASTOR OIL, ORGANIC CARROT SEED OIL, ORGANIC VITAMIN E OIL, ORGANIC GRAPESEED OIL, 100% PURE THERAPEUTIC GRADE ESSENTIAL OILS: FRANKINCENSE, GERANIUM, LAVENDER, LEMON, ROSEMARY.","Product's animal testing policies,Unknown"
Chagrin Valley Soap &amp; Salve,"Chagrin Valley Soap & Salve Company Cuticle Cream, Rosehips & Shea",01,Cuticle Treatment,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Organic Virgin Coconut Oil, Organic Beeswax, Organic Jojoba Oil, Organic Rosehip Oil, Organic Virgin Shea Butter","Product's animal testing policies,Leaping Bunny"
Salve,"Salve. Rose Lip, Nail & Cuticle Conditioner",01,Cuticle Treatment,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
PRUNUS DULCIS (SWEET ALMOND) OIL, BEESWAX, TOCOPHEROL (NATURAL VITAMIN E), ROSA DAMASCENA (ROSE) ESSENTIAL OIL","Product's animal testing policies,PETA Cruelty-free Companies"
Olive &amp; June,Olive & June Cuticle Remover,01,Cuticle Treatment,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), GLYCERIN, PERSEA GRATISSIMA (AVOCADO) OIL, ARGANIA SPINOSA KERNEL OIL, SCLEROCARYA BIRREA SEED OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, POLYSORBATE 60, GLYCERYL STEARATE, POTASSIUM HYDROXIDE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER","Product's animal testing policies,Unknown"
,Scentuals Organic Moroccan Argan Beauty Oil Blend,01,Cuticle Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ARGANIA SPINOSA KERNEL OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, TOCOPHEROL","Product's animal testing policies,Unknown"
Naples Soap Company,"Naples Soap Company, Lavendar Lemon Cuticle Balm",02,Cuticle Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Coconut Oil, Argan Oil, Beeswax, Jojoba Oil, Lavender Essential Oil, Lemon Essential Oil, Vitamin E (Tocopherol)","Product's animal testing policies,Unknown"
Nail Aid,"Nail Aid 3 in 1 Cuticle Remover Serum, Aloe Vera + Cucumber + Lemon Oil",02,Cuticle Treatment,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
AQUA (WATER), POTASSIUM HYDROXIDE, GLYCERIN, PROPYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ALOE BARBADENSIS LEAF JUICE (ALOE VERA), CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, EUCALYPTUS CITRIODORA (LEMON EUCALYPTUS) OIL, PHENOXYETHANOL","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
butter LONDON,Butter London Quickfix Moisturizing Cuticle Balm,02,Cuticle Treatment,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA/WATER/EAU, ETHYLHEXYL PALMITATE, BUTYLENE GLYCOL, COCOS NUCIFERA (COCONUT) OIL, DIMETHICONE, PERSEA GRATISSIMA (AVOCADO) OIL, GLYCERYL STEARATE, PEG-100 STEARATE, ETHYLHEXYLGLYCERIN PHENOXYETHANOL, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, SQUALANE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, TOCOPHERYL ACETATE, POLYSORBATE 60.","Product's animal testing policies,Unknown"
Herbaliz,Herbaliz Healthy Nail Treatment,02,Cuticle Treatment,MODERATE,LOW,MODERATE,LOW,"Ingredients from packaging:
Helianthus Annuus (Sunflower) Seed Oil*, Olea Europaea (Olive) Oil*, Ricinus Communis (Castor) Seed Oil*, Butyrospermum Parkii (Shea) Butter*, Equisetum Arvense (Horsetail)*, Arctium Lappa (Burdock) Root*, Plantago Major (Plantain)*, Symphytum Officinale (Comfrey) Leaf*, Beeswax, Boswellia Carteri (Frankincense) Oil, Commiphora Myrrha (Myrrh) Oil, Tocopherol. *Certified Organic
Warnings from packaging:
No preservatives. Keep away from heat and sun. Use within 1 year of purchase. Not for internal use. Keep out of eyes.","Product's animal testing policies,PETA Cruelty-free Companies"
