Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Just the Goods,"Just the Goods vegan conditioning oil for beards + cuticles, unscented",EWG Verified,Beard Oil,,,,,"Ingredients from packaging:
vitis vinifera (grape/p̩pin de raisin) seed oil, simmondsia chinensis (jojoba) seed oil, argania spinosa (argan) kernel oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
Heritage Store,Heritage Store Black Castor Oil,01,Beard Oil,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
RICINUS COMMUNIS (CASTOR) SEED OIL.","Product's animal testing policies,Unknown"
Moonrise Creek,"Moonrise Creek Beard Oil, Counrtyside",01,Beard Oil,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Prunus Dulcis (Almond) Oil, Prunus Armeniaca (Apricot Kernel) Oil, Vitis Vinifera (Grapeseed) Oil, Simmondsia Chinensis (Jojoba) Oil, Argania Spinosa (Argan) Oil, Hippophae Rhamnoides (Sea Buckthorn Seed) Oil, Rosa Canina (Rose Hip Seed) Oil, Borago Officinalis (Borage Seed) Oil,Tocopherol (Vitamin E Oil) & Essential Oils. Tangerine + Peppercorn + Rosemary","Product's animal testing policies,Unknown"
,Blesswell Conditioning Beard Oil,01,Beard Oil,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, ETHYL HEXYL OLIVATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, TOCOPHEROL (VITAMIN E), OLEA EUROPAEA (OLIVE) FRUIT OIL SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, CANNABIS SATIVA (HEMP) SEED OIL, COCOS NUCIFERA (COCONUT) OIL, ARGANIA SPINOSA (ARGAN) KERNEL OIL, CITRULLUS LANATUS (WATERMELON) SEED OIL","Product's animal testing policies,Unknown"
,Badass Beard Care EL BURRISTA BADASS BEARD OIL,01,Beard Oil,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Apricot kernel oil, argan oil, jojoba oil, pure vitamin E oil, Coffee Extract, and Vanilla Oil.","Product's animal testing policies,Unknown"
Moonrise Creek,"Moonrise Creek Beard Oil, High Desert",01,Beard Oil,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Prunus Dulcis (Almond) Oil, Prunus Armeniaca (Apricot Kernel) Oil, Vitis Vinifera (Grapeseed) Oil, Simmondsia Chinensis (Jojoba) Oil, Argania Spinosa (Argan) Oil, Hippophae Rhamnoides (Sea Buckthorn Seed) Oil, Rosa Canina (Rose Hip Seed) Oil, Borago Officinalis (Borage Seed) Oil,Tocopherol (Vitamin E Oil) & Essential Oils. Sage + Juniper + Rose","Product's animal testing policies,Unknown"
Artnaturals,artNaturals Beard and stache Oil,01,Beard Oil,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Simmondsia Chinensis (Jojoba) Seed Oil, Argania Spinosa (Argan) Kernel Oil.","Product's animal testing policies,Unknown"
,Pulpo Coconilla Beard Oil,01,Beard Oil,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
Coconut Fragrance Oil; Vanilla Essential Oil; Almond Oil; Argan Oil; Castor Oil","Product's animal testing policies,Unknown"
,"Lazy Acres 100% Pure Moisturizing Oil, Sweet Almond",01,Beard Oil,LOW,LOW,LOW,LOW,"Ingredients from packaging:
100% PURE PRUNUS DULCIS (SWEET ALMOND) OIL","Product's animal testing policies,Unknown"
Detroit Grooming Co.,Detroit Grooming Co. Downtown Beard Oil,01,Beard Oil,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Prunis Amgdalus Dulcis (Sweet Almond) Oil, Tocopherol (Vitamin E oil), Helianthus Annuus (Sunflower) Seed Oil, Carthamus Tictorius (Safflower) Seed Oil, Oryza Sativa (Rice) Bran Oil, Prunus Armeniaca (Apricot) Kernel Oil, Persea Gratissima (Avocado) Oil, Triticum Vulgare (Wheat) Germ Oil.","Product's animal testing policies,Unknown"
