Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
,"L'oreal Let's Color! High Pigment Permanent Hair Color Booster, Violet",01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
AQUA/WATER/EAU, BASIC RED 51, SODIUM CHLORIDE","Product's animal testing policies,Unknown"
,"L'oreal Let's Color! High Pigment Permanent Hair Color Booster, Red",01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
456351 : AQUA / WATER / EAU, BASIC YELLOW 87, BASIC RED 51, SODIUM CHLORIDE","Product's animal testing policies,Unknown"
,"L'oreal Let's Color! High Pigment Permanent Hair Color Booster, Copper",01,Hair Color And Bleaching,MODERATE,LOW,LOW,HIGH,"Ingredients from packaging:
AQUA/WATER/EAU, BASIC YELLOW 87, BASIC ORANGE 31","Product's animal testing policies,Unknown"
,"Naturally Brite Henna Hair Dye, Auburn",01,Hair Color And Bleaching,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
RED HENNA (LAWSONIA INERMIS CERA), HENNA, INDIGO HERB (INDIGOFERA TINCTORIA LEAF), THEOBROMA CACAO SEED BUTTER, CARRAGEENAN, PARAFFINUM LIQUIDUM, CAPRYLIC/CAPRIC TRIGLYCERIDE, BENTONITE, OLETH-5.","Product's animal testing policies,Unknown"
,Everprobeauty Root Touch Up Quick Stick,01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
C12-15 ALKYL BENZOATE, TAPIOCA STARCH, POLYETHYLENE, OCTYLDODECANOL, TRIBEHENIN, SILICA, POLYMETHYLSILSESQUIOXANE, MICA, AQUA/WATER/EAU, DISTEARDIMONIUM HECTORITE, CAPRYLYL GLYCOL, PROPYLENE CARBONATE, ISOPROPYL TITANIUM TRIISOSTEARATE, TRIETHOXYSILYLETHYL POLYDIMETHYLSILOXYETHYL DIMETHICONE, SIMETHICONE, TIN OXIDE, CI 77491 (IRON OXIDES), CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE)","Product's animal testing policies,Unknown"
,"Cover That Gray Instant Hair Touch Up Stick Lipstick Applicator, Medium Brown",01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
MICROCRYSTALLINE WAX, MYRISTYL MYRISTATE, PARAFFIN, OCTYL PALMITATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, MICA, TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77491, CI 77492, CI 77499).","Product's animal testing policies,Unknown"
,"Naturally Brite Henna Hair Dye, Fire",01,Hair Color And Bleaching,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
RED HENNA (LAWSONIA INERMIS CERA), HENNA, INDIGO HERB (INDIGOFERA TINCTORIA LEAF), THEOBROMA CACAO SEED BUTTER, CARRAGEENAN, PARAFFINUM LIQUIDUM, CAPRYLIC/CAPRIC TRIGLYCERIDE, BENTONITE, OLETH-5.","Product's animal testing policies,Unknown"
Irene Gari,"Cover Your Gray Touch Up Stick, Black",01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
CERA MICROCISTALLINA/ MICROCRYSTALLINE WAX/ CIRE MICROCRISTALLINE, MYRISTYL MYRISTATE, PARAFFIN, OCTYL PALMITATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, MICA, TITANIUM DIOXIDE (CI 77891), MAY CONTAIN: IRON OXIDES (CI 77491, CI 77492, CI 77499)","Product's animal testing policies,Unknown"
,"Naturally Brite Henna Hair Dye, Dark Brown",01,Hair Color And Bleaching,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
RED HENNA (LAWSONIA INERMIS CERA), HENNA, INDIGO HERB (INDIGOFERA TINCTORIA LEAF), THEOBROMA CACAO SEED BUTTER, CARRAGEENAN, PARAFFINUM LIQUIDUM, CAPRYLIC/CAPRIC TRIGLYCERIDE, BENTONITE, OLETH-5.","Product's animal testing policies,Unknown"
,"Everprobeauty Gray Away Root Touch Up Quick Stick, Lightest Brown/Medium Blonde",01,Hair Color And Bleaching,LOW,LOW,LOW,LOW,"Ingredients from packaging:
C12-15 ALKYL BENZOATE, TAPIOCA STARCH, OCTYLDODECANOL, POLYETHYLENE, TRIBEHENIN, SILICA, POLYMETHYLSILSESQUIOXANE, WATER (AQUA), DISTEARDIMONIUM HECTORITE, ISOPROPYL TITANIUM TRIISOSTEARATE, TRIETHOXYSILYLETHYL POLYDIMETHYLSILOXYETHYL DIMETHICONE, TRIETHOXYSILYLETHYL POLYDIMETHYLSILOXYETHYL HEXYL DIMETHICONE, SIMETHICONE, TIN OXIDE, PROPYLENE CARBONATE, CAPRYLYL GLYCOL, MICA, IRON OXIDES (CI 77492), IRON OXIDES (CI 77499), IRON OXIDES (CI 77491), TITANIUM DIOXIDE (CI 77891).","Product's animal testing policies,Unknown"
