Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Qet Botanicals,Qet Botanicals Natural Sea Spray,EWG Verified,Hair Spray,,,,,"Ingredients from packaging:
Distilled Water, Maris Sal (Himalayan Pink Salt), Lavandula Angustifolia (Lavender) Flower Oil*, Rosmarinus Officinalis (Rosemary) Flower Oil*, Daucus Carota (Carrot) Seed Oil*, Rubus Idaeus (Red Raspberry) Seed Oil. *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
Ivy &amp; Elder,Ivy & Elder Wear the Wind Wave Spray,EWG Verified,Hair Spray,,,,,"Ingredients from packaging:
Water (Aqua), Alcohol Denat.*, Sodium Polyitaconate, Aloe Barbadensis Leaf Juice*, Propanediol, Undecane, Crataegus Monogyna (Hawthorn) Berry Extract, Glycerin, Panthenol, Tridecane, Tetrasodium Glutamate Diacetate, Citric Acid, Ethylhexylglycerin, Potassium Sorbate.
Warnings from packaging:
For external use only. Keep away from eyes. If irritation occurs, discontinue use.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Every Man Jack,"Every Man Jack, Texturizing Surf Spray for All Hair Types, Sea Salt",01,Hair Spray,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA), MALTODEXTRIN/VP COPOLYMER, POLYSORBATE 20, GLYCERIN, MAGNESIUM SULFATE, SODIUM CHLORIDE, SORBITOL, PHENOXYETHANOL, AMP-ACRYLATES/ALLYL METHACRYLATE COPOLYMER, PANTHENOL, ETHYLHEXYLGLYCERIN, SEA SALT, CHRITHMUM MARITINUM (SEA FENNEL) EXTRACT","Product's animal testing policies,Unknown"
Carina Organics,"Carina Organics Fast Drying Hairspray, Unscented",01,Hair Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Ethanol (ethyl alcohol), Acacia senegal (gum) extract, Pinus banksiana (pine) extract, Matricaria chamomilla (chamomile) flower extract, Urtica dioca (nettle) leaf extract, Taraxacum officinale (dandelion) leaf extract, Trifolium pratense (clover) flower extract, Olea europaea (olive) fruit oil, Cucurbita pepo (pumpkin) seed oil.
Warnings from packaging:
Caution: Contents are flammable Keep away from heat or flame.","Product's animal testing policies,Unknown"
Carina Organics,"Carina Organics Fast Drying Hairspray, Sweet Pea",01,Hair Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Ethanol (ethyl alcohol), Acacia senegal (gum) extract, Pinus banksiana (pine) extract, Matricaria chamomilla (chamomile) flower extract, Urtica dioca (nettle) leaf extract, Taraxacum officinale (dandelion) leaf extract, Trifolium pratense (clover) flower extract, Lathyrus odoratus (sweet pea) flower extract, Olea europaea (olive) fruit oil, Cucurbita pepo (pumpkin) seed oil.
Warnings from packaging:
Caution: Contents are flammable Keep away from heat or flame.","Product's animal testing policies,Unknown"
JOHN MASTERS ORGANICS,"John Masters Organics Sea Mist Spry, Sea Salt & Lavender",02,Hair Spray,LOW,LOW,MODERATE,MODERATE,"Ingredients from packaging:
ALOE BARBADENSIS LEAF JUICE (ALOE)* GYCERIN*, SD ALCOHOL 38-B (LAVENDER BLENDED ALCOHOL)* SODIUM CHLORIDE (SEA SALT BLEND), LINALOOL+, GERANOL+ LIMONENE+, COUMARIN+","Product's animal testing policies,PETA Cruelty-free Companies"
,Kcprofessional Very Sensitive & Strong Hairspray,02,Hair Spray,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
ALCOHOL DENAT., HYDROFLUOROCARBON 152A, ACRYLATES COPOLYMER, OCTYLACRYLAMIDE / ACRYLATES / BUTYLAMINOETHYL METHACRYLATE COPOLYMER, AMINOMETHYL PROPANOL, PEG-12 DIMETHICONE, PANTHENOL, COCODIMONIUM HYDROXYPROPYL HYDROLYZED SILK, WATER (AQUA).","Product's animal testing policies,Unknown"
Druide,"Druide Styling Hairspray, Alchohol-Free",02,Hair Spray,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Aqua, Aloe Barbadensis Leaf Juice*, Saccharum Officinarum (Sugarcane) Extract*, Urtica Dioica (Nettle) Extract*, Equisetum Arvense (Horstail ) Extract*, Acchille Millefolium Extract*, Lavandula Angustifolia (Lavande) Extract*, Sodium Citrate, Glycerin, Arginine, Galactoarabinan, Levulinic Acid, Potassium Alum, Sodium Gluconate, Potassium Sorbate.","Product's animal testing policies,PETA Cruelty-free Companies"
Naturtint,Naturtint Hair Spray,02,Hair Spray,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), SODIUM POLYITACONATE, LEMON (CITRUS LIMON) FRUIT WATER, SUNFLOWER (HELIANTHUS ANNUUS) SEED EXTRACT, HYDROLYZED BAOBAB (ADANSONIA DIGITATA) SEED EXTRACT, GLYCERIN, SODIUM BENZOATE, POTASSIUM SORBATE, BENZYL ALCOHOL, CITRIC ACID.","Product's animal testing policies,Unknown"
Rainwater Botanicals,"Rainwater Botanicals Spray For Hair All Natural, Dead Sea Salt",02,Hair Spray,LOW,LOW,LOW,LOW,"Ingredients from packaging:
distilled water, dead sea salts, organic aloe, essential oils","Product's animal testing policies,Unknown"
