Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
LEARN MORE ABOUT THIS INGREDIENT,jenuinely pure cleanser,EWG Verified,,,,,,"Ingredients from packaging:
Purified water, saponified organic coconut oil, saponified organic olive oil, saponified jojoba oil, lemongrass essential oil, aloe vera extract, rosemary extract, organic simmondsia Chinensis (jojoba) seed oil, glycerin, melissa officinalis (lemon balm) extract, organic matricaria recutita (chamomile) extract
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Unknown"
LEARN MORE ABOUT THIS INGREDIENT,"Bravo Sierra Hair & Body Solid Cleanser, Unscented",EWG Verified,,,,,,"Ingredients from packaging:
Sodium Cocoyl Isethionate, Hydrogenated Vegetable Oil, Water (Aqua), Polyglyceryl-4 Laurate, Glycerin, Avena Sativa (Oat) Kernel Flour, Butyrospermum Parkii (Shea) Butter, Tetrasodium Glutamate Diacetate, Aloe Barbadensis Leaf Juice, Maltodextrin, Panax Ginseng Root Extract, Spirulina Maxima Extract, Citric Acid","EWG Verified,Product's animal testing policies,Unknown"
LEARN MORE ABOUT THIS INGREDIENT,Biossance Squalane + Vitamin C Rose Moisturizer,EWG Verified,,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Isoamyl Laurate, Cetearyl Olivate, Sorbitan Olivate, Tetrahexyldecyl Ascorbate, Lactobacillus/Lemon Peel Ferment Extract, Tocopherol, Glyceryl Stearate SE, Rosa Damascena Flower Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Cetyl Alcohol, Acacia Senegal Gum, Xanthan Gum, Ethylhexylglycerin, Phytic Acid, Sodium Gluconate, Phenoxyethanol, Citric Acid, Sodium Hydroxide, Citronellol, Iron Oxide (CI 77491)
Warnings from packaging:
Use only as directed. For external use only.","EWG Verified,Product's animal testing policies,Unknown"
LEARN MORE ABOUT THIS INGREDIENT,"Maia's Mineral Galaxy Liquid Lipstick, Knock",EWG Verified,,,,,,"Ingredients from packaging:
Isododecane, Trimethylsiloxysilicate, Boron Nitride, Euphorbia Cerifera (Candelilla) Wax, Beeswax , Kaolin, Tapioca Starch, Silica Amorphous, Isopropyl Myristate, Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Mica (CI 77019), Iron Oxides (CI 77491,77492,77499)
Warnings from packaging:
Caution: Discontinue, if irritation occurs, consult a physician","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
LEARN MORE ABOUT THIS INGREDIENT,"Maia's Mineral Galaxy Mineral Eye Liner, Dark Chocolate",EWG Verified,,,,,,"Ingredients from packaging:
*Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cacao) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax, * Butyrospermum Parkii (Shea Butter), *Rosmarinus Officinalis (Rosemary) Oleoresin, Tocopherol (Vitamin E), Kaolin, Mica and Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Caution: Do not use if eye is injured, infected, irritated or moving. Consult a physician promptly if damage occurs.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
LEARN MORE ABOUT THIS INGREDIENT,"Honest Beauty Gloss-C Lip Gloss, Bronzite",EWG Verified,,,,,,"Ingredients from packaging:
Dimer Dilinoleyl Dimer Dilinoleate, Cocos Nucifera (Coconut) Oil, Polyhydroxystearic Acid, Polyglyceryl-6 Polyricinoleate, Euphorbia Cerifera (Candelilla) Wax, Theobroma Cacao (Cocoa) Seed Butter, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Silica, Tetrahexyldecyl Ascorbate, Punica Granatum Flower Extract, Polyglyceryl-3 Diisostearate, Stearalkonium Hectorite, Propylene Carbonate, Dipotassium Glycyrrhizate, Tocopherol, Sodium Hyaluronate, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 6 (CI 15850), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
LEARN MORE ABOUT THIS INGREDIENT,"Pipette Baby Lotion, Vanilla + Ylang Ylang",EWG Verified,,,,,,"Ingredients from packaging:
Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Punica Granatum Sterols, Ceramide NP, Vanillin, Cananga Odorata Flower Oil, Sodium Carbomer, Triethyl Citrate, Potassium Sorbate, Juniperus Virginiana Oil, Ethylhexylglycerin, Hydroxyacetophenone, Anisaldehyde, Benzyl Acetate, Propanediol, Phytic Acid
Warnings from packaging:
Use only as directed. Avoid contact with eyes.
For external use only.","EWG Verified,Product's animal testing policies,Unknown"
LEARN MORE ABOUT THIS INGREDIENT,Whamisa Organic Fruits Body Butter,EWG Verified,,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, *Corylus Avellana (Hazel) Seed Oil, *Olea Europaea (Olive) Fruit Oil, *Beeswax, **Cetyl Alcohol, *Astrocaryum Murumuru Seed Butter, *Butyrospermum Parkii (Shea) Butter, *Pyrus Malus (Apple) Fruit Extract, **Cetearyl Alcohol, *Persea Gratissima (Avocado) Oil, *Saccharomyces/Apple/Sucrose Ferment Filtrate, *Lactobacillus/Musa Sapientum (Banana) Fruit Ferment Filtrate, **Cetearyl Olivate, **Sorbitan Olivate, *Citrus Junos Fruit Extract, *Lactobacillus/Rubus Idaeus (Raspberry) Fruit Ferment Filtrate, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, ^Silica, Lavandula Angustifolia (Lavender) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, p-Methoxybenzaldehyde, Hexyl Acetate, Vanillin, Phenylacetic Acid, Gamma-Undecalactone, Beta-Ionone
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
LEARN MORE ABOUT THIS INGREDIENT,ATTITUDE Baby Leaves Diaper Zinc Cream,EWG Verified,,,,,,"Ingredients from packaging:
Active ingredient: zinc oxide 25%; Inactive ingredients: Olea europaea (olive) fruit oil, ricinus communis (castor) seed oil, cocos nucifera (coconut) oil, tapioca starch, glyceryl dibehenate, tribehenin, caprylic / capric triglyceride, butyrospermum parkii (shea) butter, copernicia cerifera (carnauba) wax, glyceryl behenate, glycerin, chamomilla recutita (matricaria) flower extract, rosmarinus officinalis (rosemary) leaf extract, vaccinium angustifolium (blueberry) leaf extract.
Warnings from packaging:
: For external use only. When using this product do not get into eyes. Stop use and ask a doctor if -condition worsens - symptoms last more than 7 days or clear up and occur again within a few days. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
LEARN MORE ABOUT THIS INGREDIENT,"Well People Bio Correct Concealer, 6W",EWG Verified,,,,,,"Ingredients from packaging:
Coco-Caprylate/Caprate, Triethylhexanoin, Hydrogenated Castor Oil Isostearate, Polyglyceryl-2 Triisostearate, Jojoba Esters, Glyceryl Behenate, Hydrogenated Polycyclopentadiene, Caprylic/Capric Triglyceride, Silica, Boron Nitride, Helianthus Annuus (Sunflower) Seed Wax/Helianthus Annuus Seed Wax, Helianthus Annuus (Sunflower) Seed Oil/Helianthus Annuus Seed Oil, Hydrogenated Sunflower Seed Oil, Sorbitan Sesquiisostearate, Trihydroxystearin, Isopropyl Titanium Triisostearate, Ethylhexylglycerin, Mica, Acacia Decurrens Flower Wax, Polyglycerin-3, Camellia Sinensis Seed Oil, Punica Granatum (Pomegranate) Seed Oil/Punica Granatum Seed Oil*, Olea Europaea (Olive) Fruit Oil/Olea Europaea Fruit Oil*, Ricinus Communis (Castor) Seed Oil/Ricinus Communis Seed Oil*, Tocopherol, Calendula Officinalis Flower Extract*, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)
Warnings from packaging:
Avoid contact with eyes. If contact occurs rinse with plenty of water.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
