Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Soft Beige",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WELL PEOPLE,"W3ll People Narcissist Foundation Sticks, Fair Golden",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Oleic Acid*, Ricinus Communis (Castor) Seed Oil*, Carthamus Tinctorius (Safflower) Seed Oil*, Copernicia Cerifera (Carnauba) Wax*, Beeswax*, Linolenic Acid*, Castor Isostearate Beeswax Succinate, Mica, Palmitic Acid*, Stearic Acid*, Water, Linolenic Acid*, Arginine/Lysine Polypeptide, Glycine Soja (Soybean) Oil, Tocopherol (Natural Vitamin E), Aloe Barbadensis Leaf*, Camellia Sinensis Leaf Extract*, Pearl Powder, Caprylic/Capric Triglyceride, Sorbic Acid, Alaria Esculenta Extract, May contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI7499)] *Certified Organic
Warnings from packaging:
FREE FROM: Parabens, Coal Tar, Phenoxyethanol, Petrolatum, Nanoparticles, Synthetic Fragrance, Propylene Glycol, Phthalates, Dimethicone, Formaldehyde, Lead, Lead Compounds, BHT, BHA, DEA.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Light Ochre",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Burnt Bronze",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Skin Twin Featherweight Foundation, Fair 160",EWG Verified,Foundation,,,,,"Ingredients from packaging:
/INGR DIENTS: Aqua/Water/Eau, Coco-Caprylate, Isododecane, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Isostearic Acid, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Isoeicosane, Propanediol, Jojoba Esters, Glycerin, Magnesium Sulfate, Cera Alba/Beeswax/Cire d'abeille, Dimethicone, Gluconolactone, Sodium Chloride, Calcium Gluconate, Sodium Hyaluronate, Tocopherol, Triethoxycaprylylsilane, Isopropyl Myristate, Ethylhexyl Palmitate, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Lecithin, Sodium Benzoate, Hydrogenated Castor Oil, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Bourbon",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Caramel Cream",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Maia&#39;s Mineral Galaxy,"Maia's Mineral Galaxy Mineral Foundation, Sierra Desert",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, Silica Amorphous, Kaolin, Magnesium Myristate, Organic Arrowroot Powder, Iron Oxides (CI 77491,CI 77492,CI 77499)
Warnings from packaging:
Caution: Avoid inhaling the blush powder dust. Discontinue use if irritation occurs and consult a physician promptly.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Skin Twin Featherweight Foundation, Medium 320",EWG Verified,Foundation,,,,,"Ingredients from packaging:
/INGR DIENTS: Aqua/Water/Eau, Coco-Caprylate, Isododecane, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Isostearic Acid, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Isoeicosane, Propanediol, Jojoba Esters, Glycerin, Magnesium Sulfate, Cera Alba/Beeswax/Cire d'abeille, Dimethicone, Gluconolactone, Sodium Chloride, Calcium Gluconate, Sodium Hyaluronate, Tocopherol, Triethoxycaprylylsilane, Isopropyl Myristate, Ethylhexyl Palmitate, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Lecithin, Sodium Benzoate, Hydrogenated Castor Oil, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).","EWG Verified,Product's animal testing policies,Leaping Bunny"
Rejuva Minerals,"Rejuva Minerals Natural Look Pressed Foundation, Radiance",EWG Verified,Foundation,,,,,"Ingredients from packaging:
Boron Nitride, *Tapioca Starch, Lauroyl Lysine, *Copernicia Cerifera (Carnauba) Wax,  *Simmondsia Chinensis (Jojoba) Seed Oil, Gluconolactone, Sodium Benzoate, Theobroma Cacao (Cocoa) Shell Powder, *Vaccinium Corymbosum (Blueberry) Fruit Extract, *Vitis Vinifera (Grape) Fruit Extract, Iron Oxides CI 77491, CI 77492, CI 77499 *Certified Organic","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
