Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Hard Candy,"Hard Candy Plumping Serum Lip Balm, Plush Pink 2183",01,Lip Plumper,LOW,LOW,LOW,LOW,"Ingredients from packaging:
CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-DIGLYCERYL POLYACYLADIPATE-2, MANGIFERA INDICA [MANGO] SEED BUTTER, DIISOSTEARYL MALATE, PERSEA GRATISSIMA [AVOCADO] OIL, SYNTHETIC WAX, THEOBROMA GRANDIFLORUM SEED BUTTER, BUTYROSPERMUM PARKII [SHEA] BUTTER, MICROCRYSTALLINE WAX, KAOLIN, PARAFFIN, SILICA, SUCROSE TETRASTEARATE TRIACETATE, GLYCINE SOJA [SOYBEAN] SEED EXTRACT, LACTOBACILLUS/CAPSICUM FRUTESCENS FRUIT FERMENT EXTRACT, METHYL NICOTINATE,","Product's animal testing policies,Unknown"
Milk Makeup,"Milk Makeup Electric Glossy Lip Plumper Hydrating Lip Plumper, Pumped",01,Lip Plumper,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Hydrogenated Polyisobutene, Sucrose Acetate Isobutyrate, Ethylene/Propylene/Styrene Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Tridecyl Trimellitate, Caprylic/Capric Triglyceride, Oleyl Alcohol, Silica Silylate, Water/Aqua/Eau, Cetearyl Ethylhexanoate, Jojoba Esters, Zanthoxylum Bungeanum Fruit Extract, Helianthus Annuus (Sunflower) Seed Wax, Acacia Decurrens Flower Wax, Portulaca Pilosa Extract, Tocopherol, sr-Hydrozoan Polypeptide-1, Palmitoyl Tripeptide-38, Menthoxypropanediol, Butylene/Ethylene/Styrene Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sorbitan Isostearate, Butylene Glycol, Polyglycerin-3, Sucrose Cocoate, 1,2-Hexanediol","Product's animal testing policies,Leaping Bunny"
Hard Candy,"Hard Candy Plumping Serum Lip Balm, Plentiful Plum 2184",01,Lip Plumper,LOW,LOW,LOW,LOW,"Ingredients from packaging:
CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-DIGLYCERYL POLYACYLADIPATE-2, MANGIFERA INDICA (MANGO) SEED BUTTER, DIISOSTEARYL MALATE, PERSEA GRATISSIMA (AVOCADO) OIL, SYNTHETIC WAX, THEOBROMA GRANDIFLORUM SEED BUTTER, BUTYROSPERMUM PARKII (SHEA) BUTTER, MICROCRYSTALLINE WAX, KAOLIN, PARAFFIN, SILICA, SUCROSE TETRASTEARATE TRIACETATE, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, LACTOBACILLUS/CAPSICUM FRUTESCENS FRUIT FERMENT EXTRACT, METHYL NICOTINATE,","Product's animal testing policies,Unknown"
Hard Candy,"Hard Candy Plumping Serum Lip Balm, Bountiful Bare 2180",01,Lip Balm,LOW,LOW,LOW,LOW,"Ingredients from packaging:
CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-DIGLYCERYL POLYACYLADIPATE-2, MANGIFERA INDICA (MANGO) SEED BUTTER, DIISOSTEARYL MALATE, PERSEA GRATISSIMA (AVOCADO) OIL, SYNTHETIC WAX, THEOBROMA GRANDIFLORUM SEED BUTTER, BUTYROSPERMUM PARKII (SHEA) BUTTER, MICROCRYSTALLINE WAX, KAOLIN, PARAFFIN, SILICA, SUCROSE TETRASTEARATE TRIACETATE, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, LACTOBACILLUS/CAPSICUM FRUTESCENS FRUIT FERMENT EXTRACT, METHYL NICOTINATE,","Product's animal testing policies,Unknown"
Hard Candy,"Hard Candy Plumping Serum Lip Balm, Colossal Caramel 2182",01,Lip Plumper,LOW,LOW,LOW,LOW,"Ingredients from packaging:
CAPRYLIC/CAPRIC TRIGLYCERIDE, BIS-DIGLYCERYL POLYACYLADIPATE-2, MANGIFERA INDICA (MANGO) SEED BUTTER, DIISOSTEARYL MALATE, PERSEA GRATISSIMA (AVOCADO) OIL, SYNTHETIC WAX, THEOBROMA GRANDIFLORUM SEED BUTTER, BUTYROSPERMUM PARKII (SHEA) BUTTER, MICROCRYSTALLINE WAX. KAOLIN, PARAFFIN, SILICA, SUCROSE TETRASTEARATE TRIACETATE, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, LACTOBACILLUS/CAPSICUM FRUTESCENS FRUIT FERMENT EXTRACT, METHYL NICOTINATE,","Product's animal testing policies,Unknown"
Formula Z,Formula Z Plumpaholic,01,Lip Plumper,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Polyisobutene, Octyl Palmitate, Menthone Glycerin Acetal, Carthamus Tinctorius (Safflower) Oil, Glycine Soja (Soybean) Oil, Aloe Barbadensis Leaf Extract, Tocopheryl Acetate, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Extract","Product's animal testing policies,Unknown"
Clove + Hallow,Clove + Hallow Lip Polish,02,Lip Plumper,LOW,LOW,MODERATE,MODERATE,"Ingredients from packaging:
Sucrose (Sugar), Organic Cocos Nucifera (Coconut) Oil, Ricinus Communis (Castor) Seed Oil, Glycerin, Hydrogenated Castor Oil, Natural Flavor","Product's animal testing policies,PETA Cruelty-free Companies"
Clinique,Clinique Moisture Surge Lip Hydro Plump Treatment,02,Lip Plumper,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
PETROLATUM, POLYBUTENE, POLYGLYCERYL-2 TRIISOSTEARATE, HYDROGENATED POLYISOBUTENE, TOCOPHERYL ACETATE, PVP/HEXADECENE COPOLYMER, SILICA, HYDROGENATED CASTOR OIL, PPG-51/SMDI COPOLYMER, CAPRYLIC/CAPRIC/MYRISTIC/STEARIC TRIGLYCERIDE, BUTYROSPERMUM PARKII (SHEA BUTTER), SEA WHIP EXTRACT, CERAMIDE NG, CHOLESTEROL, ASTROCARYUM MURUMURU SEED BUTTER CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, C12-16 ALCOHOLS, TETRAHEXYLDECYL ASCORBATE, BUTYLENE/ETHYLENE/ STYRENE COPOLYMER, CAPRYLYL GLYCOL, PALMITIC ACID, HYDROGENATED LECITHIN","Product's animal testing policies,Unknown"
Clinique,Clinique Moisture Surge Lip Treatment,02,Lip Plumper,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
PETROLATUM, POLYBUTENE, POLYGLYCERYL-2 TRIISOSTEARATE, HYDROGENATED POLYISOBUTENE, TOCOPHERYL ACETATE, PVP/HEXADECENE COPOLYMER, SILICA, HYDROGENATED CASTOR OIL, PPG-51/SMDI COPOLYMER, CAPRYLIC/CAPRIC/MYRISTIC/STEARIC TRIGLYCERIDE, BUTYROSPERMUM PARKII (SHEA BUTTER), SEA WHIP EXTRACT, CERAMIDE NG, CHOLESTEROL, ASTROCARYUM MURUMURU SEED BUTTER CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLENE/PROPYLENE/STYRENE COPOLYMER, C12-16 ALCOHOLS, TETRAHEXYLDECYL ASCORBATE, BUTYLENE/ETHYLENE/ STYRENE COPOLYMER, CAPRYLYL GLYCOL, PALMITIC ACID, HYDROGENATED LECITHIN","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Lip Plumper, Clearly Pink Cblg344",02,Lip Plumper,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
POLYISOBUTENE, PARAFFINUM LIQUIDUM (MINERAL OIL), C12-15 ALKYL BENZOATE, ISONONYL ISONONANOATE, GLYCERYL BEHENATE/EICOSADIOATE, POLYETHYLENE, PENTAERYTHRITYL TETRAISOSTEARATE, CITRIC ACID, HYDROXYSTEARIC ACID, PHENOXYETHANOL, VANILLYL BUTYL ETHER, (FRAGRANCE), CAPRYLIC/CAPRIC TRIGLYCERIDE, RED 27 LAKE (CI 45410), TOCOPHEROL, ALOE BARBADENSIS LEAF EXTRACT, CINNAMYL ALCOHOL, EUGENOL, CINNAMAL, LINALOOL, BENZYL BENZOATE, LIMONENE","Product's animal testing policies,Unknown"
Oh K!,Oh K! Collagen Lip Mask With Sea Minerals & Hyaluronic Acid,02,Lip Plumper,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
AQUA (WATER, EAU), GLYCERIN, DIPROPYLENE GLYCOL, CERATONIA SILIQUA (CAROB) GUM, CHONDRUS CRISPUS POWDER, 1,2-HEXANEDIOL, CHONDRUS CRISPUS EXTRACT, BUTYLENE GLYCOL, CELLULOSE GUM, PAEONIA SUFFRUTICOSA ROOT EXTRACT, CENTELLA ASIATICA EXTRACT, SODIUM HYALURONATE, HYDROLYZED COLLAGEN, TRIPEPTIDE-1, COPPER TRIPEPTIDE-1, ACETYL TETRAPEPTIDE-5, ACETYL TETRAPEPTIDE-2, PALMITOYL PENTAPEPTIDE-4, PALMITOYL TRIPEPTIDE-1, HEXAPEPTIDE-9, HEXAPEPTIDE-11, PALMITOYL TRIPEPTIDE-5, GARDENIA FLORIDA FRUIT EXTRACT, SODIUM POLYACRYLATE, POTASSIUM CHLORIDE, SYNTHETIC FLUORPHLOGOPITE, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, ALGIN, HYDROGENATED POLYDECENE, GLYCERYL CAPRYLATE, DEXTRIN, SUCROSE, POLYSORBATE 20, TITANIUM DIOXIDE(CI 77891), ADENOSINE, ETHYLHEXYLGLYCERIN, TRIDECETH-6, LAMINAR A DIGITATA EXTRACT, POLYGLYCERYL-10 LAURATE, DISODIUM EDTA","Product's animal testing policies,Unknown"
