Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Jane Iredale,Jane Iredale PureLash Lash Extender & Conditioner,01,Other Eye Makeup,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Aqua/Water/Eau, Algae Extract, Cera Alba (Beeswax), Stearic Acid, Glycerin, Copernicia Cerifera Cera, Hydroxyethylcellulose, Panthenol, Hydrolyzed Wheat Protein, Oleic Acid, Raphanus Sativus (Radish) Root Extract.","Product's animal testing policies,PETA Cruelty-free Companies"
Kylie Cosmetics,KylieCosmetics by Kylie Jenner KYBROW GEL,01,Other Eye Makeup,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA/WATER/EAU, ACRYLATES COPOLYMER, ALCOHOL, PVP, POLYACRYLATE CROSSPOLYMER-6, BUTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, CHLORPHENESIN, CAPRYLYL GLYCOL","Product's animal testing policies,Unknown"
Thrive,"Thrive Brilliant Eye Brightener, Stella",02,Other Eye Makeup,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
DIMETHICONE, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, POLYBUTENE, HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, GLYCERYL CAPRYLATE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, MACADAMIA INTEGRIFOLIA SEED OIL, MANGIFERA INDICA (MANGO) SEED OIL, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, ISOPROPYL TITANIUM TRIISOSTEARATE. MAY CONTAIN (+/-): MICA (CI 77019), IRON OXIDES (CI 77491, 77492, 77499), TITANIUM DIOXIDE (CI 77891)","Product's animal testing policies,Unknown"
Thrive,"Thrive Brilliant Eye Brightener, Tara",02,Other Eye Makeup,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
DIMETHICONE, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, POLYBUTENE, HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, GLYCERYL CAPRYLATE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, MACADAMIA INTEGRIFOLIA SEED OIL, MANGIFERA INDICA (MANGO) SEED OIL, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, ISOPROPYL TITANIUM TRIISOSTEARATE, [+/- TITANIUM DIOXIDE (CI 77891), MICA, IRON OXIDES (CI 77491, 77492, 77499)","Product's animal testing policies,Unknown"
Monat,Monat Lash & Brow Enhancing Serum,02,Other Eye Makeup,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
AQUA/WATER/EAU, BUTYLENE GLYCOL, HYDROXYETHYLCELLULOSE, TRIFOLIUM PRATENSE (CLOVER) FLOWER EXTRACT, ACETYL TETRAPEPTIDE-3, TOCOPHEROL, WHEAT AMINO ACIDS, SOY AMINO ACIDS, ARGININE HCI, SERINE, THREONINE, DEXTRAN, BENZYL ALCOHOL, ETHYLHEXYLGLYCERIN","Product's animal testing policies,Leaping Bunny"
Pseudo Labs,"Pseudo Labs, Phreckles Water Resistant Faux Freckles, Shade 03",02,Other Eye Makeup,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, PEG/PPG-18/18 Dimethicone, Trisiloxane, Disteardimonium Hectorite, Tocopheryl Acetate, Propylene Carbonate, Silica, Methicone, Phenoxyethanol, Ethylhexylglycerin. May Contain (+/-): Yellow Oxide (CI 77492), Iron Oxides (CI 77491), Black Oxide (CI 77499).","Product's animal testing policies,Unknown"
Rimmel London,"Rimmel London Lash Accelerator Growth Serum, Clear 100",02,Other Eye Makeup,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA/WATER/EAU, PENTYLENE GLYCOL, PVP, BUTYLENE GLYCOL, GLYCERIN, HYDROXYETHYLCELLULOSE, PHENOXYETHANOL, PANTHENOL, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, PPG-26-BUTETH-26, PEG-40 HYDROGENATED CASTOR OIL, ARGININE, PANTOLACTONE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, DISODIUM PHOSPHATE, POLYSORBATE 60, LITHIUM MAGNESIUM SODIUM SILICATE, SODIUM BENZOATE, APIGENIN, BENZOIC ACID, MYRISTOYL PENTAPEPTIDE-17, SODIUM PHOSPHATE, BIOTIN, SODIUM HYALURONATE, OLEANOLIC ACID, PALMITOYL TRIPEPTIDE-1, BAMBUSA ARUNDINACEA STEM EXTRACT, POTASSIUM SORBATE, SILICA.","Product's animal testing policies,Unknown"
Rimmel London,"Rimmel London Wonder' Serum, Clear 100",02,Other Eye Makeup,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
AQUA/WATER/EAU, PENTYLENE GLYCOL, PVP, BUTYLENE GLYCOL, GLYCERIN, HYDROXYETHYLCELLULOSE, PHENOXYETHANOL, PANTHENOL, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, PPG-26-BUTETH-26, PEG-40 HYDROGENATED CASTOR OIL, ARGININE, PANTOLACTONE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, DISODIUM PHOSPHATE, POLYSORBATE 60, LITHIUM MAGNESIUM SODIUM SILICATE (NANO), SODIUM BENZOATE, APIGENIN, BENZOIC ACID, MYRISTOYL PENTAPEPTIDE-17, SODIUM PHOSPHATE, BIOTIN, SODIUM HYALURONATE, OLEANOLIC ACID, BIOTINOYL TRIPEPTIDE-1, BAMBUSA ARUNDINACEA STEM EXTRACT, POTASSIUM SORBATE, SILICA.","Product's animal testing policies,Unknown"
,"NYX Professional Makeup Thick It Stick It Brow Gel Mascara, Espresso",03,Other Eye Makeup,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
AQUA / WATER / EAU, ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER, SYNTHETIC BEESWAX, VP/HEXADECENE COPOLYMER, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, PALMITIC ACID, GLYCERYL STEARATE, BUTYLENE GLYCOL, CELLULOSE, CANDELILLA CERA / CANDELILLA WAX / CIRE DE CANDELILLA, STEARIC ACID, AMINOMETHYL PROPANOL, GLYCERYL DISTEARATE, CAPRYLYL GLYCOL, TETRASODIUM GLUTAMATE DIACETATE, LAURETH-21, TRISTEARIN, ETHYLHEXYLGLYCERIN, POLYBUTENE, SORBIC ACID, SODIUM DEHYDROACETATE, PHENOXYETHANOL. +/- MAY CONTAIN: MICA, CI 77491, CI 77492, CI 77499 / IRON OXIDES, CI 77891 / TITANIUM DIOXIDE","Product's animal testing policies,Unknown"
Wet N Wild,"Wet n wild, Fantasy Makers, Paint Palette, Smokey 1230762",03,Other Eye Makeup,MODERATE,LOW,LOW,HIGH,"Ingredients from packaging:
ETHYLHEXYL PALMITATE, POLYETHYLENE, MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE, POLYBUTENE, BIS-DIGLYCERYL POLYACYLADIPATE-2, HYDROGENATED COCO-GLYCERIDES, OZOKERITE, SILICA, PHENOXYETHANOL, CETYL PEG/PPG-10/1 DIMETHICONE, HEXYL LAURATE, POLYGLYCERYL-4 ISOSTEARATE, SILICA DIMETHYL SILYLATE, TOCOPHEROL, GLYCINE SOJA (SOYBEAN) OIL, 1+1-(MAY CONTAIN/PEUT CONTENIR):TITANIUM DIOXIDE (CI 77891), MICA, BLUE 1 LAKE (CI 42090), IRON OXIDES (CI 77491, CI 77492, CI 77499)]","Product's animal testing policies,Unknown"
