Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Qet Botanicals,Qet Botanicals Lip Gloss with Olive & Avocado,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
Olea Europaea (Olive) Fruit Oil*, Persea Gratissima (Avocado) Fruit Oil*, Helianthus Annus (Sunflower) Seed Oil*, Brassica Oleracea (Broccoli) Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Rubus Idaeus (Red Raspberry) Seed Oil, Daucus Carota (Carrot) Seed Oil*, Rosmarinus Officinalis (Rosemary) Flower Oil*, Tocopherol (Non-GMO Vitamin E). *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
Beautycounter,"Beautycounter Beyond Gloss, Rosewood",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Cera Alba (Beeswax)/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Ethyl Vanillin, Glycine Soja (Soybean) Oil, Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Honest Beauty,"Honest Beauty Gloss-C Lip Gloss, Axinite",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Dimer Dilinoleyl Dimer Dilinoleate, Cocos Nucifera (Coconut) Oil, Polyhydroxystearic Acid, Polyglyceryl-6 Polyricinoleate, Euphorbia Cerifera (Candelilla) Wax, Theobroma Cacao (Cocoa) Seed Butter, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Silica, Tetrahexyldecyl Ascorbate, Punica Granatum Flower Extract, Polyglyceryl-3 Diisostearate, Stearalkonium Hectorite, Propylene Carbonate, Dipotassium Glycyrrhizate, Tocopherol, Sodium Hyaluronate, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 6 (CI 15850), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rejuva Minerals,"Rejuva Minerals Tinted Lip Moisture, Rose Nude",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Ricinus Communis (castor) Seed Oil*, Helianthus Annuus (sunflower) Seed Oil*, Euphorbia Cerifera (candelilla) Wax, Punica Granatum Sterols, Butyrospermum Parkii (shea butter) Fruit*, Theobroma Cacao (cocoa) Seed Butter*, Cocos Nucifera (virgin coconut) Oil*, Copernicia Cerifera (carnauba) Wax*, Persea Gratissima (avocado) Oil*, Simmondsia Chinensis (jojoba) Seed Oil*, Cocos Nucifera (and) Eupatorium Rebaudianum Bertoni Leaf Extract, Tocopherol, Lauroyl Lysine, Rosa Gallica (rose) Petals Powder, Theobroma Cacao (cocoa) Shell Powder, Mica, Tin Oxide, Titanium Dioxide, Caesalpinia Sappan Bark extract, Iron Oxides, Synthetic Fluorphlogopite, Peppermint Oil Piperita*","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Beyond Gloss, Clove",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Cera Alba (Beeswax)/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Ethyl Vanillin, Glycine Soja (Soybean) Oil, Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Gaondodam,GAONDODAM Pure Rosehip Tint Lip Oil,EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
POLYGLYCERYL-2 TRIISOSTEARATE, PENTAERYTHRITYL TETRAISOSTEARATE, HYDROGENATED POLYISOBUTENE, DIISOSTEARYL MALATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, SILICA DIMETHYL SILYLATE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, RED 7 LAKE (CI 15850), YELLOW 6 LAKE (CI 15985), ROSA CANINA FRUIT OIL, DEHYDROACETIC ACID, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, TOCOPHEROL
Warnings from packaging:
Do not keep this at a high temperature or expose to direct sunlight.","EWG Verified,Product's animal testing policies,Unknown"
Sally B&#39;s Skin Yummies,"Sally B's Skin Yummies B Gloss Lip Gloss, Sweet Plum",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Organic Ricinus Communis (Castor) Seed, Organic Soy Lecithin, (Non GMO), Organic Beeswax, Organic Butyrospermum Parkii, Organic Copernica Cerifera (Carneuba Wax), Tocopherols (Non GMO Soy Based), Organic Mentha arvensis (Peppermint Essential Oil), Mica's (May contain Titanium Dioxide and/or Iron Oxides for color)
Warnings from packaging:
Discontinue if irritation develops","EWG Verified,Product's animal testing policies,Leaping Bunny"
Honest Beauty,"Honest Beauty Gloss-C Lip Gloss, Poppy Topaz",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Dimer Dilinoleyl Dimer Dilinoleate, Cocos Nucifera (Coconut) Oil, Polyhydroxystearic Acid, Polyglyceryl-6 Polyricinoleate, Euphorbia Cerifera (Candelilla) Wax, Theobroma Cacao (Cocoa) Seed Butter, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Silica, Tetrahexyldecyl Ascorbate, Punica Granatum Flower Extract, Polyglyceryl-3 Diisostearate, Stearalkonium Hectorite, Propylene Carbonate, Dipotassium Glycyrrhizate, Tocopherol, Sodium Hyaluronate, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, MAY CONTAIN: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 6 (CI 15850), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090)","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Beautycounter,"Beautycounter Beyond Gloss, Amber Shimmer",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Calcium Sodium Borosilicate, Cera Alba (Beeswax)/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Silica, Aluminum Calcium Sodium Silicate, Mica, Tocopherol, Ethyl Vanillin, Tin Oxide, Glycine Soja (Soybean) Oil, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
C&#39;est Moi,"C'est Moi Reflect Lip Gloss, Bliss",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil*, Oleic/Linoleic/Linolenic Polyglycerides, Hydroxystearic/Linoleic/Oleic Polyglycerides, Cera Alba (Beeswax)/Cire d'abeille, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Oil*, Jojoba Esters, Silica, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Glycine Soja (Soybean) Oil, Carmine (CI 75470), Mica†. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499). *Organic/Biologique †Opulence shade only/ombre seulement","EWG Verified,Product's animal testing policies,Unknown"
Beautycounter,"Beautycounter Beyond Gloss, Black Plum",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Cera Alba (Beeswax)/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Ethyl Vanillin, Glycine Soja (Soybean) Oil, Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
C&#39;est Moi,"C'est Moi Reflect Lip Gloss, Rise",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Ricinus Communis (Castor) Seed Oil*, Oleic/Linoleic/Linolenic Polyglycerides, Hydroxystearic/Linoleic/Oleic Polyglycerides, Cera Alba (Beeswax)/Cire d'abeille, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Oil*, Jojoba Esters, Silica, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Glycine Soja (Soybean) Oil, Carmine (CI 75470), Mica†. May Contain/Peut contenir (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499). *Organic/Biologique †Opulence shade only/ombre seulement","EWG Verified,Product's animal testing policies,Unknown"
Beautycounter,"Beautycounter Beyond Gloss, Dahlia",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Cera Alba (Beeswax)/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Ethyl Vanillin, Glycine Soja (Soybean) Oil, Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Iron Oxides (CI 77499), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beautycounter,"Beautycounter Beyond Gloss, Brulee",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Polybutene, Ricinus Communis (Castor) Seed Oil, Hydrogenated Polyisobutene, Ethylhexyl Palmitate, Cera Alba (Beeswax)/Cire d'abeille, Calcium Sodium Borosilicate, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba*, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Vanilla Planifolia Fruit Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Mica, Tocopherol, Silica, Ethyl Vanillin, Glycine Soja (Soybean) Oil, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Benzyl Alcohol+, Benzyl Benzoate+, Eugenol+, Linalool+.","EWG Verified,Product's animal testing policies,Leaping Bunny"
Sally B&#39;s Skin Yummies,"Sally B's Skin Yummies B Glossy Lip Gloss, Soft Kiss",EWG Verified,Lip Gloss,,,,,"Ingredients from packaging:
Organic Ricinus Communis (Castor) Seed, Organic Soy Lecithin, (Non GMO), Organic Beeswax, Organic Butyrospermum Parkii, Organic Copernica Cerifera (Carneuba Wax), Tocopherols (Non GMO Soy Based), Organic Mentha arvensis (Peppermint Essential Oil), Mica's (May contain Titanium Dioxide and/or Iron Oxides for color)
Warnings from packaging:
Discontinue if irritation develops","EWG Verified,Product's animal testing policies,Leaping Bunny"
