Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
COSRX,COSRX Centella Aqua Soothing Ampoule,01,Facial Moisturizer/Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Centella Asiatica Extract, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Chondrus Crispus Extract, Saccharum Officinarum (Sugarcane) Extract, Pentylene Glycol, Octanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Ethylhexylglycerin, Allantoin, Madecassoside, Panthenol","Product's animal testing policies,Unknown"
COSRX,COSRX Poreless Pad,01,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Camellia Sinensis Seed Extract, Butylene Glycol, Glycerin, 1,2-Hexanediol, Arginine, Betaine Salicylate, Mandelic Acid, Gluconolactone, Panthenol, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Dimethyl Sulfone, Allantoin, Asiaticoside, Madecassic Acid, Asiatic Acid, Tannic Acid, Hydroxypropyl Cyclodextrin, Capryloyl Salicylic Acid, Water, Sodium Hyaluronate, Pentylene Glycol, Menthyl Lactate, Mentha Haplocalix Extract, Sodium Phosphate, Disodium Phosphate","Product's animal testing policies,Unknown"
COSRX,COSRX Advanced Snail Radiance Dual Essence,01,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Snail Secretion Filtrate, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Betaine, Panthenol, Water, Glycerin, Limnanthes Alba (Meadowfoam) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Allantoin, Carbomer, Macadamia Ternifolia Seed Oil, Sodium Polyacrylate, Sodium Hyaluronate, Inulin Lauryl Carbamate, Arginine, Argania Spinosa Kernel Oil, Xanthan Gum, Sodium Surfactin, Ethylhexylglycerin, Glutathione","Product's animal testing policies,Unknown"
COSRX,COSRX Propolis Synergy Toner,01,Toners/Astringents,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Propolis Extract, Honey Extract, Butylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Cassia Obtusifolia Seed Extract, Panthenol, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylic/Capric Triglyceride","Product's animal testing policies,Unknown"
COSRX,COSRX B5 D-panthenol Cream,01,Facial Moisturizer/Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Panthenol, Helianthus Annuus (Sunflower) Seed Oil, Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Pentylene Glycol, Vinyl Dimethicone, Silica, 1,2-Hexanediol, Cetearyl Alcohol, Polymethylsilsesquioxane, Dimethicone/Vinyl Dimethicone Crosspolymer, Cetearyl Olivate, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Carbomer, Tromethamine, Propanediol, Sodium Hyaluronate Crosspolymer, Hydrolyzed Glycosaminoglycans, Sodium Hyaluronate, Benzyl Glycol, Hydrolyzed Hyaluronic Acid, Ethylhexylglycerin, Hyaluronic Acid, Raspberry Ketone","Product's animal testing policies,Unknown"
COSRX,COSRX Vitamin E Serum E-20,01,Serums & Essences,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Cetyl Ethylhexanoate, Triethylhexanoin, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Macadamia Ternifolia Seed Oil, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Adansonia Digitata Seed Oil
Warnings from packaging:
Contents may darken due to vitamin E properties. Note this is a natural phenomenon that does not affect the potency of the product.
Store in a cool, dark space between 15 C ~ 25 C, as far away from light and heat as possible.
Use within 3 months of opening.","Product's animal testing policies,Unknown"
COSRX,COSRX Centella Cleansing Powder,01,Facial Cleanser,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Zea Mays (Corn) Starch, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Sodium Lauroyl Aspartate, Maltodextrin, Allantoin, Centella Asiatica Extract, Lipase, Protease","Product's animal testing policies,Unknown"
COSRX,COSRX Vitamin C Serum C-23,01,Serums & Essences,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Propolis Extract, Ascorbic Acid, Aronia Melanocarpa Fruit Extract, Hippophae Rhamnoides Extract, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Water, Cassia Obtusifolia Seed Extract, Sodium Hyaluronate, Allantoin
Warnings from packaging:
Use SPF protection during the day. Do not use together with other acids like AHAs, BHAs, and retinol. Mild irritation or redness may occur for first time users. If so, use every other night until skin adjusts. Contents may turn brown due to oxidation. To avoid this, store in a cool, dark space between 15 C ~ 25 C, as far away from light and heat as possible.
Use within 2 months of opening.","Product's animal testing policies,Unknown"
COSRX,COSRX Hydrium Watery Toner,01,Toners/Astringents,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Allantoin, Panthenol, Sodium Hyaluronate, Pentylene Glycol, Sodium hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Sodium Hyaluronate","Product's animal testing policies,Unknown"
COSRX,COSRX Propolis Honey Overnight Mask,01,Facial Moisturizer/Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Propolis Extract, Butylene Glycol, Glycerin, Honey Extract, Royal Jelly Extract, 1,2-Hexanediol, Water, Betaine, Cassia Obtusifolia Seed Extract, Carbomer, Arginine, Ethylhexylglycerin, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Xanthan Gum, Helianthus Annuus (Sunflower) Seed Oil, Sodium Polyacrylate, Panthenol, Allantoin, Adenosine, Sodium Hyaluronate, Beeswax","Product's animal testing policies,Unknown"
