Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Just the Goods,"Just the Goods vegan conditioning oil for beards + cuticles, unscented",EWG Verified,Beard Oil,,,,,"Ingredients from packaging:
vitis vinifera (grape/p̩pin de raisin) seed oil, simmondsia chinensis (jojoba) seed oil, argania spinosa (argan) kernel oil, tocopherol (vitamin e - non-GMO soy/non-OGM soja)
Warnings from packaging:
n/a","EWG Verified,Product's animal testing policies,Leaping Bunny"
Beauty Secrets,Beauty Secrets Nail Polish Corrector Pen,01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ACETONE","Product's animal testing policies,Unknown"
,"Asp Prep N'clean Dehydrant, 156320",01,Nail Treatment,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
ETHYL ACETATE, DIMETHYLTOLYLAMINE.","Product's animal testing policies,Unknown"
L.A. Colors,"L.A. Colors Salon Fabulous Nail Treatment, Quick Gloss Top Coat",01,Nail Treatment,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, NITROCELLULOSE, ACRYLATES COPOLYMER, ACETYL TRIBUTYL CITRATE, ISOPROPYL ALCOHOL, VIOLET 2 (CI 60725).","Product's animal testing policies,Unknown"
steele nails,Steel Nails Hyaluronic Acid,01,Nail Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ALLIUM SATIVUM BULB EXTRACT, KERATIN, CALCIUM PANTOTHENATE, NITROCELLULOSE, BUTYL ACETATE, ETHYL ACETATE, POLYESTER -23, ADIPIC ACID, BUTYL ACRYLATE/STYRENE COPOLYMER, PENTAERYTHRITYL TETRAISOSTEARATE, SODIUM HYALURONATE","Product's animal testing policies,PETA Cruelty-free Companies"
,Vegan Pure Multi Vitamin Ultra Strength Nail Balm,01,Nail Treatment,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
THEOBROMA CACAO (COCOA) SEED BUTTER, CANDELILLA CERA, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, PROPYLENE GLYCOL, BIOTIN, FOLIC ACID, CYANOCOBALAMIN (VITAMIN B12), PHENOXYETHANOL","Product's animal testing policies,Unknown"
Ella+mila,"Ella+mila Nail Care Treatment, No More Biting",01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
BUTYL ACETATE, ETHYL ACETATE, ISOPROPYL ALCOHOL, ACRYLATES COPOLYMER, CELLULOSE ACETATE BUTYRATE, DENATONIUM BENZOATE, DIPROPYLENE GLYCOL DIBENZOATE","Product's animal testing policies,Unknown"
Nail Aid,Nail Aid Vegan Pure Concentrated Ultra Moisturizing Cuticle Balm,01,Nail Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
THEOBROMA CACAO (COCOA) SEED BUTTER, CANDELILLA CERA, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, THEOBROMA GRANDIFLORUM (CUPUACU) SEED BUTTER, PERSEA GRATISSIMA (AVOCADO) OIL, TOCOPHEROL (VITAMIN E), PHENOXYETHANOL.","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Nail Aid,Nail Aid Ultimate Iron Armor Hardener,01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
BUTYL ACETATE, ETHYL ACETATE, NITROCELLULOSE, PHTHALIC ANHYDRIDE/TRIMELLITIC ANHYDRIDE/ GLYCOLS COPOLYMER, ACETYL TRIBUTYL CITRATE, ISOPROPYL ALCOHOL, STEARALKONIUM HECTORITE, PISTACIA VERA (PISTACHIO) SEED OIL, CUCURBITA PEPO (PUMPKIN) SEED OIL, ETOCRYLENE.","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
L.A. Colors,"L.a. Colors All N One Healthy Nails Nail Treatment, Cnl523",01,Nail Treatment,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, NITROCELLULOSE, TRIETHYL CITRATE, ALCOHOL, POLYESTER-23, ISOPROPYL ALCOHOL, LYCIUM BARBARUM SEED OIL, PROPYLENE GLYCOL, AQUA (WATER), VACCINIUM MYRTILLUS FRUIT EXTRACT, SORBITOL, ULTRAMARINES (CI 77007), TRIETHOXYCAPRYLYLSILANE.","Product's animal testing policies,Unknown"
Salve,"Salve. Rose Lip, Nail & Cuticle Conditioner",01,Cuticle Treatment,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
PRUNUS DULCIS (SWEET ALMOND) OIL, BEESWAX, TOCOPHEROL (NATURAL VITAMIN E), ROSA DAMASCENA (ROSE) ESSENTIAL OIL","Product's animal testing policies,PETA Cruelty-free Companies"
L.A. Colors,"L.a. Colors Nourishing Cuticle Oil Nail Treatment, Cbnt888",01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
PRUNUS AMYGDALUS DULCIS OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, CARTHAMUS TINCTORIUS SEED OIL, ALOE BARBADENSIS LEAF EXTRACT, CAPRYLIC/CAPRIC TRIGLYCERIDE, OPUNTIA FICUS-INDICA FRUIT EXTRACT.","Product's animal testing policies,Unknown"
L.A. Colors,"L.a. Colors Nourishing Cuticle Oil Nail Treatment, CNL526",01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
PRUNUS AMYGDALUS DULCIS OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, CARTHAMUS TINCTORIUS SEED OIL, ALOE BARBADENSIS LEAF EXTRACT, CAPRYLIC/CAPRIC TRIGLYCERIDE, OPUNTIA FICUS-INDICA FRUIT EXTRACT.","Product's animal testing policies,Unknown"
The Tart Peach,"The Tart Peach, Cuticle Oil",01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Jojoba Oil, Avocado Oil, Apricot Kernel Oil, Squalane Olive Oil, Vitamin E Oil, Sweet Orange and Vanilla Essential Oils.","Product's animal testing policies,Unknown"
,Olive & June Dry Drops,01,Nail Treatment,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
DIMETHICONE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL","Product's animal testing policies,Unknown"
,Lazy Acres Healthy Nails (With Oregano Oil),01,Nail Treatment,LOW,LOW,LOW,LOW,"Ingredients from packaging:
SWEET ALMOND OIL (PRUNUS DULCIS) DMSO (DIMETHYLSULFOXIDE) ESSENTIAL OILS OF: OREGANO LEAF (ORIGANUM VULGARE) TEA TREE LEAF (MELALEUCA ALTERNIFOLIA) CLOVE BUD (EUGENIA CARYOPHYLLATA) CINNAMON LEAF (CINNAMOMUM ZEYLANICUM)","Product's animal testing policies,Unknown"
,Fung Off Maximum Strength Special Liquid Nail Conditioner Liquid,02,Nail Treatment,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETIC ESTER, THYMOL, VITAMIN E ACETATE","Product's animal testing policies,Unknown"
OPI,"OPI ChipSkip, For Natural Nails",02,Nail Polish,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
ETHYL ACETATE, AQUA/WATER/EAU, AMMONIUM-HYDROXIDE.","Product's animal testing policies,PETA Cruelty-free Companies"
Dazzle Dry,"Dazzle Dry, Nail Prep, Nourishing Nail Strengthener",02,Nail Treatment,LOW,LOW,MODERATE,MODERATE,"Ingredients from packaging:
ISOPROPYL ALCOHOL, SD ALCOHOL 40B, WATER, ETHYL ACETATE, CALCIUM-D-PANTOTHENATE AND AMP ISOSTEAROYL HYDROLYZED WHEAT PROTEIN","Product's animal testing policies,Unknown"
Nail Aid,"Nail Aid 3 in 1 Cuticle Remover Serum, Aloe Vera + Cucumber + Lemon Oil",02,Cuticle Treatment,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
AQUA (WATER), POTASSIUM HYDROXIDE, GLYCERIN, PROPYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ALOE BARBADENSIS LEAF JUICE (ALOE VERA), CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, EUCALYPTUS CITRIODORA (LEMON EUCALYPTUS) OIL, PHENOXYETHANOL","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
,Blue Cross Cuticle Remover Cream,02,Nail Treatment,LOW,LOW,MODERATE,HIGH,"Ingredients from packaging:
WATER, POTASSIUM HYDROXIDE, CASTOR SEED OIL, PEG-75 LANOLIN, ACRYLATES/PALMETH-25 ACRYLATES COPOLYMER","Product's animal testing policies,Unknown"
French Girl,"French Girl, Nail & Cuticle, Eco Luxe Botanical Oil",02,Nail Treatment,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*, ARGANIA SPINOSA (ARGAN) KERNEL OIL*, CANNABIS SATIVA (HEMP) SEED OIL*, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL*, PUNICA GRANATUM (POMEGRANATE) SEED OIL, CALOPHYLLUM INOPHYLLUM (TAMANU) SEED OIL, CITRUS LIMON (LEMON) PEEL OIL, PELARGONIUM GRAVEOLENS (GERANIUM) FLOWER OIL, HIPPOPHAE RHAMNOIDES (SEA BUCKTHORN) FRUIT OIL*, HIPPOPHAE RHAMNOIDES (SEA BUCKTHORN) SEED OIL*, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL*, CITRAL, GERANIOL, LIMONENE, CITRONELLOL","Product's animal testing policies,Unknown"
Nailtural,"Nailtural Nail Strengthener, 72285",02,Nail Treatment,MODERATE,LOW,LOW,HIGH,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, NITROCELLULOSE, ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER, ACETYL TRIBUTYL CITRATE, ALCOHOL, GLYCOLIC ACID, ETOCRYLENE, TRIMETHYLPENTANEDIYL DIBENZOATE, WATER/EAU, VIOLET 2.","Product's animal testing policies,Unknown"
Nail Aid,Nail Aid Vitamin C Alpha Hydroxy Acids Nail Buffer + Whitener Papaya Exfoliator,02,Nail Treatment,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), JUGLANS REGIA (WALNUT) SHELL POWDER, GLYCERYL STEARATE, PEG-100 STEARATE, CETYL ALCOHOL, COCO NUCIFEROUS (COCONUT) OIL, CETEARYL ALCOHOL, CETEARETH-20, SODIUM HYDROXIDE, CARBOMER, CARICA PAPAYA (PAPAYA) FRUIT EXTRACT, ASCORBIC ACID (VITAMIN C), ALPHA HYDROXY (GLYCOLIC) ACID, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Orly,Orly Nailtrition Nail Growth Treatment,02,Nail Treatment,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ETHYL ACETATE, BUTYL ACETATE, NITROCELLULOSE, ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER, ACETYL TRIBUTYL CITRATE, ISOPROPYL ALCOHOL, STEARALKONIUM HECTORITE, SUCROSE ACETATE ISOBUTYRATE, PENTAERYTHRITYL TETRAISOSTEARATE, MICA, PHYLLOSTACHYS BAMBUSOIDES RHIZOME EXTRACT, CHLORELLA VULGARIS EXTRACT, CANNABIS SATIVA SEED OIL*, CAMELLIA SINENSIS LEAF EXTRACT, ASCORBIC ACID, GLYCERIN, WATER/AQUA/EAU MAY CONTAIN (+/-): CI 77891 (TITANIUM DIOXIDE), CI 15850 (RED 6).","Product's animal testing policies,PETA Cruelty-free Companies"
Nail Aid,Nail-Aid - Biotin Ultimate Strength - Concentrated Viamin B7,02,Nail Treatment,MODERATE,LOW,LOW,HIGH,"Ingredients from packaging:
Ethyl Acetate, Butyl Acetate, Nitrocellulose, Phthalic Anhydride/Trimellitic Anhydride/
Glycols Copolymer, Isopropyl Alcohol, Acetyl Tributyl Citrate, Stearalkonium Hectorite, Biotin (Vitamin B7),
Calcium Pantothenate (Vitamin B5), Acrylates Copolymer, Etocrylene, CI 60725 (Violet 2)
Directions from packaging:
Use alone: Apply 2 coats over dry, clean nails. Let each coat dry before applying another coat. Use with nail color: Apply as base \u0026 top coat. For longest-lasting protection, apply another coat every 3 days. Remove easily with nail polish remover.","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
