Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Cirepil,"Cirepil Soft Wax, Forte",01,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl rosinate, Triethylene glycol rosinate, Paraffinum liquidum (Mineral oil), Prunus amygdalus dulcis (Sweet almond) oil.","Product's animal testing policies,Unknown"
Cirepil,Cirepil Cristal Ocean Soft Wax,01,Depilatory,MODERATE,LOW,LOW,LOW,"Ingredients from packaging:
Hydrogenated styrene / methyl styrene / indene copolymer, Paraffinum liquidum (Mineral oil), Cera microcristallina (Microcrystalline wax), CI 61565 (D&C green 6)l","Product's animal testing policies,Unknown"
Gillette Venus,Gillette Venus Olay Olay Cleansing Primer,02,Depilatory,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER, HEXYLENE GLYCOL, GLYCERIN, PHENOXYETHANOL, CETYL BETAINE, SODIUM BENZOATE, DISODIUM EDTA, ALOE BARBADENSIS LEAF JUICE POWDER, NIACINAMIDE, PANTHENOL, SODIUM HYALURONATE, CUCUMIS SATIVUS (CUCUMBER) FRUIT WATER, HAMAMELIS VIRGINIANA (WITCH HAZEL) WATER, CAPRYLYL GLYCOL, 1,2-HEXANEDIOL","Product's animal testing policies,Unknown"
Gigi,Gigi Spa CHARCOAL DETOX HARD WAX,02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl/Rosinate, Beeswax (Cera Alba, Cire d'abeille), Methyl Hydrogenated Rosinate, Glycerin, Salix Alba (Willow) Bark Extract, Charcoal Powder, Zinc Oxide, Ethylhexyl Palmitate, Glycine Soja (Soybean) Oil, Isopropyl Titanium Triisostearate, Synthetic Wax, Polyester-3, Silica, Aluminum Hydroxide, Iron Oxides (CI 77499), Titanium Dioxide (CI 77891)","Product's animal testing policies,Unknown"
Gigi,Gigi Spa FACIAL HONEE,02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Hydrogenated Rosinate, Dipropylene Glycol Dibenzoate, Methyl Hydrogenated Rosinate, Honey Extract (Mel, Extrait de Miel), Calendula Officinalis Flower Extract, Chamomila Recutita (Matricaria) Flower Extract","Product's animal testing policies,Unknown"
Clean+Easy,Clean+Easy BRAZILIAN BIKINI HARD WAX,02,Depilatory,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Rosin (Colophonium, Colophane), Glyceryl Hydrogenated Rosinate, Beeswax (Cera Alba, Cire d'abeille), Glycerin, Methyl Hydrogenated Rosinate, Glycine Soja (Soybean) Oil, Paraffin, Hydrogenated Olive Oil Cetyl Esters, Ethylhexyl Palmitate","Product's animal testing policies,PETA Cruelty-free Companies"
Gigi,"Gigi Spa FLEX WAX, COCONUT HONEE",02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Rosinate, Triethylene Glycol Hydrogenated Rosinate, Beeswax (Cera Alba, Cire d'abeille), Paraffin, Ethylene/VA Copolymer, Cocos Nucifera (Coconut) Oil, Lanolin, Polyester-3, Silica, Aluminum Hydroxide, Titanium Dioxide (CI 77891)","Product's animal testing policies,Unknown"
Clean+Easy,Clean+Easy ULTRA SENSITIVE SOFT WAX,02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Hydrogenated Rosinate, Mineral Oil (Paraffinum Liquidum, Huile Min rale), Zinc Oxide, Calendula Officinalis Flower Extract, Chamomila Recutita (Matricaria) Flower Extract, Carthamus Tinctorius (Safflower) Seed Oil, Polyester-3, Silica, Aluminum Hydroxide (CI77002), Titanium Dioxide (CI77891)","Product's animal testing policies,PETA Cruelty-free Companies"
Gigi,Gigi Spa BRAZILIAN BODY HARD WAX,02,Depilatory,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Rosin (Colophonium, Colophane), Glyceryl Hydrogenated Rosinate, Beeswax (Cera Alba, cire d'abeille), Glycerin, Methyl Hydrogenated Rosinate, Glycine Soja (Soybean) Oil, Paraffin, Hydrogenated Cetyl Olive Esters, Ethylhexyl Palmitate","Product's animal testing policies,Unknown"
Gigi,Gigi Spa ALL PURPOSE HONEE WAX,02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Hydrogenated Rosinate, Dipropylene Glycol Dibenzoate, Methyl Hydrogenated Rosinate, Honey Extract (Mel, Extrait de Miel)","Product's animal testing policies,Unknown"
Gigi,Gigi Spa GIGI ALL PURPOSE MICROWAVE HONEE,02,Depilatory,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
Glyceryl Hydrogenated Rosinate, Dipropylene Glycol Dibenzoate, Methyl Hydrogenated Rosinate, Honey Extract (Mel, Extrait de Miel)","Product's animal testing policies,Unknown"
Gigi,Gigi Spa BRAZILIAN BIKINI WAX MICROWAVE,03,Depilatory,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
Rosin (Colophonium, Colophane), Glyceryl Rosinate, Beeswax (Cera Alba, Cire d'abeille), Methyl Hydrogenated Rosinate, Glycerin, Paraffin, Glycine Soja (Soybean) Oil, Ethylhexyl Palmitate, Polyester-3, Silica, Aluminum Hydroxide (CI 77002), Titanium Dioxide (CI 77891), Blue 1 Lake (CI 42090)","Product's animal testing policies,Unknown"
Gigi,"Gigi Spa FLEX WAX, OLIVE OIL",03,Depilatory,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
Glyceryl Rosinate, Triethylene Glycol Hydrogenated Rosinate, Beeswax (Cera Alba, Cire d'abeille), Paraffin, Ethylene/VA Copolymer, Olea Europaea (Olive) Fruit Oil, Lanolin, Mineral Oil (Paraffinum Liquidum, Huile Min rale), Azulene, Yellow 11 (CI 47000)","Product's animal testing policies,Unknown"
Gigi,Gigi Spa GIGI ALL PURPOSE HARD WAX,03,Depilatory,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Rosin (Colophonium, Colophane), Glyceryl Rosinate, Beeswax (Cera Alba, Cire d'abeille), Methyl Hydrogenated Rosinate, Glycerin, Paraffin, Ethylhexyl Palmitate, Honey Extract (Mel Extract, Extrait de Miel), Glycine Soja (Soybean) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Polyester-3, Silica, Aluminum Hydroxide, Titanium Dioxide (CI77891)","Product's animal testing policies,Unknown"
