Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
ATTITUDE,"ATTITUDE Toothpaste, Whitening",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
Active ingredient: sodium fluoride 0.243%, Inactive ingredients: sorbitol, aqua, glycerin, hydrated silica, sodium lauryl sulfate, mentha piperita (peppermint) oil*, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, carica papaya leaf extract, camellia sinensis (green tea) leaf extract, titanium dioxide, potassium sorbate, hydroxyapatite, D-limonene
Warnings from packaging:
: Keep out of reach of children. If swallowed, call a poison control centre or get medical help right away.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Peppermint + Charcoal",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), cocos nucifera (coconut) oil, activated charcoal, carrageenan (seaweed extract), sodium cocoyl glutamate, mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, pimpinella anisum (anise) seed extract, gaultheria procumbens (wintergreen) leaf oil, stevia (leaf extract)","EWG Verified,Product's animal testing policies,Unknown"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Herbal Citrus Peppermint",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), sodium cocoyl glutamate, carrageenan (seaweed extract), mentha piperita (peppermint) oil, menthol, elettaria cardamomum seed oil, illicium verum (anise) fruit oil, eucalyptus globulus leaf oil, citrus aurantium amara (orange) peel oil, eugenia caryophyllus (clove) flower oil, citrus limon (lemon) fruit oil, cinnamomum zeylanicum bark oil, capsicum fretescens (cayenne), stevia (leaf extract)","EWG Verified,Product's animal testing policies,Unknown"
Arganat,ARGANAT ALL NATURAL CLAY TOOTHPASTE PEPPERMINT WHITENING,EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
GREEN ILLITE (FRENCH GREEN CLAY), AQUA, KAOLIN (WHITE CLAY), ARGANIA SPINOZA OIL, JUGLANS REGIA (WALNUT) BARK EXTRACT, MARIS SAL, COMMIPHORA MYRRHA (MYRRH) EXTRACT, THYMUS VULGARIS (THYME) LEAF EXTRACT, ORIGANUM VULGARE FLOWER EXTRACT, SALVIA OFFICINALIS (SAGE) OIL, THYMUS VULGARIS (THYME) LEAF OIL, ROSMARINUS OFFICINALIS (ROSEMARY) LEAFOIL, ORIGANUM VULGARE LEAF OIL, MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL, MENTHA PEPERITA LEAF (FRENCH PEPPERMINT) OIL","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Natural Spearmint",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), sodium cocoyl glutamate, carrageenan (seaweed extract), mentha piperita (peppermint) oil, mentha gracilis (scotch spearmint) oil, mentha spicata herb (spearmint) oil, Illicium verum (anise) fruit oil, citrus aurantium amara (orange) peel oil, stevia (leaf extract)","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Toothpaste, Fluoride Free, Whitening",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
Sorbitol, aqua, glycerin, hydrated silica, sodium methyl cocoyl taurate, mentha piperita (peppermint/menthe poivr e) oil*, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, carica papaya (papaya) leaf extract, camellia sinensis (green tea) leaf extract, potassium sorbate, hydroxyapatite, sodium chloride, D-limonene.
Warnings from packaging:
Caution: Do not use if safety seal is missing or broken. Use as directed.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Natural Peppermint",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydraded silica, xylitol (birch derived), sodium cocoyl glutamate (coconut derived), carrageenan (seaweed derived), mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, pimpinella anisum (anise) seed extract, gaultheria procumbens (wintergreen) leaf oil, stevia
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Unknown"
Crest,Crest 3 D Whitestrips Sensitive White Dental Whitening Kit,02,Tooth Whitening,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
PVP, WATER, PEG-8, ACRYLATES COPOLYMER, HYDROGEN PEROXIDE, SODIUM HYDROXIDE, SODIUM SACCHARIN","Product's animal testing policies,PETA Cruelty-free Companies"
Zimba,Zimba Minty Teeth Whitening Strips,02,Tooth Whitening,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
PVP K30, GLYCERIN, HYDROXYPROPYL CELLULOSE, PVP K90, WATER, ALCOHOL, HYDROGEN PEROXIDE, MENTHOL","Product's animal testing policies,PETA Cruelty-free Companies"
Crest,Crest 3D Whitestrips 1 Hour Express,02,Tooth Whitening,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
PVP, PEG-8, Water, Hydrogen Peroxide, Acrylates Copolymer, Sodium Hydroxide, Sodium Saccharin
Warnings from packaging:
Important Usage Information: Caution: Keep out of reach of young children. Not intended for use in children under the age of 18. Do not swallow plastic strips. Crest 3D White Whitestrips is not a substitute for regular dental care. Visit your dentist regularly. Avoid contact of gel with eyes, cloth, leather, or fabric. Gel that comes into contact with the skin can cause temporary skin irritation and/or whitening. Tooth Sensitivity \u0026 Gum Discomfort: With all whitening products you may experience tooth sensitivity and/or gum discomfort. With products that offer the highest level of whitening at retail such as Crest 3D White Whitestrips, there is an even greater chance that you may experience tooth sensitivity and/or gum discomfort. These effects are generally mild. These effects are temporary and not harmful. If you are in need of dental work, have dental work, or have staining from medication, ask your dentist if whitening is appropriate. Crest 3D White Whitestrips are designed to hold well to teeth. Do not use on loose teeth, restorations, or braces. Crest 3D White Whitestrips will only whiten natural teeth. The strips will not whiten caps, crowns, veneers, fillings, or dentures.","Product's animal testing policies,PETA Cruelty-free Companies"
