Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Pete &amp; Pedro,"Pete and Pedro Pre-Shave Oil, Unscented",01,Beard Care,MODERATE,LOW,MODERATE,LOW,"Ingredients from packaging:
Carthamus Tinctorius (organic safflower) seed oil, Ricinus Communis (organic castor) seed oil, Vitis Vinifera (grape seed) oil, Citrus Latifolia Tanaka (lime) oil, Tocopherol (vitamin E)","Product's animal testing policies,Unknown"
Can You Handlebar,"Can You Handle Bar Primary Moustache Wax, Medium Hold",01,Beard Care,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Beeswax, Lanolin, Europaea (Olive) Oil, Caprylic/Capric Triglyceride (Fractionated Coconut), Butryosperum Parkll (Shea) Butter, Tocopherol Acetate (Vitamin E)","Product's animal testing policies,Unknown"
Can You Handlebar,"Can You Handle Bar Secondary Moustache Wax, Firm Hold",01,Beard Care,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Beeswax, Lanolin, Europaea (Olive) Oil, Caprylic/Capric Triglyceride (Fractionated Coconut), Butryosperum Parkll (Shea) Butter, Tocopherol Acetate (Vitamin E)","Product's animal testing policies,Unknown"
,"Brother's Artisan Oil The Grooming Oil, Juniper Rosemary & Sage",01,Beard Care,LOW,LOW,LOW,LOW,"Ingredients from packaging:
argania spinosa (argan) kernel oil, simmondsia chinensis (jojoba) seed oil, vitas vinifera (grape) seed oil, juniperus communis (juniper) berry essential oil, rosmarinus officinalis (rosemary) essential oil, salvia sclarea (clary sage) essential oil","Product's animal testing policies,Unknown"
,Dirty Hippie Cosmetics Nourishing Beard and Aftershave,01,After Shave,LOW,LOW,MODERATE,MODERATE,"Ingredients from packaging:
Argan Oil*, Avocado Oil*, Hempseed Oil*, Ethically Sourced Castor Oil*, Essential Oils of Mandarin and Clary Sage. (Certified Organic*)","Product's animal testing policies,Unknown"
Argie Essentials,Argie Essentials Beard Balm,01,Beard Care,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
Unrefined Shea butter*, Mango butter*, Beeswax*, Unrefined Coconut oil*, Jojoba oil, Castor oil, Argan oil*.*Certified Organic","Product's animal testing policies,Leaping Bunny"
Scotch Porter,"Scotch Porter, Nourishing Beard Mask",01,Beard Care,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER ((AQUA) EAU), CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL, STEARYL ALCOHOL, COCOS NUCIFERA (COCONUT) OIL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, CETYL ESTERS, PROPYLENE CARBONATE, CITRIC ACID, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, POLYQUATERNIUM-10, POLYQUATERNIUM-37, PPG-1 TRIDECETH-6, PROPYLENE GLYCOL DICAPRYLATE/ DICAPRATE, SORBITOL, CAPRYLYL GLYCOL, DEHYDROACETIC ACID.","Product's animal testing policies,Unknown"
Average Bros.,"Average Bros. Beard Balm, The Workshop",01,Beard Care,LOW,LOW,LOW,LOW,"Ingredients from packaging:
BUTYROSPERMUM PARKII (SHEA BUTTER), CERA ALBA (BEESWAX), PRUNUS AMYGDALUS (SWEET ALMOND) OIL, JUNIPERUS ASHEI (CEDAR) OIL, SANTALUM ALBUM (SANDALWOOD) OIL. PICEA MARIANA (SPRUCE) OIL","Product's animal testing policies,Unknown"
Cremo,Cremo Styling Beard Balm,01,Beard Care,LOW,LOW,LOW,LOW,"Ingredients from packaging:
HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, BEESWAX SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PERSEA GRATISSIMA (AVOCADO) OIL, BUTYROSPERMUM PARKII (SHEA BUTTER COCOS NUCIFERA (COCONUT) OIL, OFFICINALIS (ROSEMARY LEAF EXTRACT, TOCOPHEROL, GLYCINE SOJA (SOYBEAN) OIL, SUNFLOWER SEED OIL GLYCERIDES","Product's animal testing policies,Unknown"
Koils by Nature,Koils by Nature Men's Beard Butter,01,Beard Care,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
: Butyrospermum Parkii (Shea Butter), Cocos Nucifera (Coconut Oil), Mangifera Indica (Mango Seed Butter), Hydrogenated Avocado Oil (Avocado Butter), Cocos Nucifera Oil / Aloe Barbadensis Leaf Extract (Aloe Butter), Prunus Dulcis (Sweet Almond Oil), Simmondsia Chinensis (Jojoba Seed Oil), Vitis vinifera (Grape Seed Oil), *Organic Olea Europaea (Olive Oil), Ricinus Communis (Jamaican Black Castor Seed Oil), Argania Spinosa (Argan Oil), Tocopherol (Vitamin E),*organic essential oils","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
,"Moon River Naturals Beard Balm, Cedarwood",01,Beard Care,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Coconut Oil*, Non-GMO Safflower Oil, Shea Butter*, Rose Hip Seed Oil*, Pure Lanolin, Beeswax, Cedarwood Essential Oil, Non-GMO Vitamin-E","Product's animal testing policies,Unknown"
Buck Naked Soap Company,"Buck Naked Soap Company Beard Growth Oil,",01,Beard Care,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Oryza Sativa (Rice) Bran Oil, Bertholletia Excelsa (Brazil) Nut Oil, Cannabis Sativa (Hemp) seed oil, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Perilla Frutescens (Perilla) Seed Oil, Tocopherol, Vanilla planifolia, Piper Nigrum (Black Pepper) seed","Product's animal testing policies,Leaping Bunny"
