Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Baja Baby,Baja Baby Creamsicle Bubble Bath,EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Glacial Water (Aqua), Coco Glucoside, Decyl Glucoside, Myristic Acid, Guar Gum, Hydrogenated Ethylhexyl Olivate, Organic Cocos Nucifera (Coconut) Oil, Pro-Vitamin B5 (Panthenol), Glucose, Glucose Oxidase, Lactoperoxidase, Organic Citrus Sinensis (Sweet Orange) Oil, Organic Vanilla Planifolia (Vanilla) Oil.
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Babo Botanicals,"Babo Botanicals Calming Shampoo Bubble Bath & Wash, Lavender & Meadowsweet",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Organic Aloe Barbadensis (Aloe Vera) Leaf Juice*, Lavandula Angustifolia (Lavender) Flower Oil, Lavandula Hybrida (Lavandin) Oil, Anthemis Nobilis (Chamomile) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Organic Argania Spinosa (Argan) Kernel Oil*, Organic Butyrospermum Parkii (Shea) Butter*, Organic Cocos Nucifera (Coconut) Oil*, Organic Molasses*, Xanthan Gum, Capryloyl Glycine, Organic Rosmarinus Officinalis (Rosemary) Leaf Extract*, Guar Hydroxypropyltrimonium Chloride, Organic Nutri-Soothe Complex [Glycerin*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu Root) Root Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*], Avena Sativa (Oat) Kernel, Potassium Sorbate, Sodium Chloride, Citric Acid
Warnings from packaging:
Although Product smells yummy, for external use only. Avoid Eye Area. Discontinue use if irritation or redness occurs. Keep out of reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Baby Leaves Bubble Wash, Good Night / Almond Milk",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Aqua / water / eau, sodium coco-sulfate, coco-glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, chamomilla recutita (matricaria) flower extract, moringa oleifera seed extract, maltodextrin, cyamopsis tetragonoba (guar) gum, linalyl acetate (herbal), vanillin.
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
EllaOla,EllaOla Baby Bath Soak,EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Colloidal Oatmeal, Coco Nucifera (Coconut), Camellia Sinensis Leaf Extract (Black Tea), Alpha-Glucan Oligosaccharide, Maris Sal (Dead Sea Salt)
Warnings from packaging:
Keep in a cool and dry place. For external use only. Avoid contact with eyes. Keep out of reach of children. This product contains a desiccant. Desiccant is not a toy. Do not eat desiccant.","EWG Verified,Product's animal testing policies,Unknown"
Bare Nuhcessities,Bare Nuhcessities Bare Bubbly Baby Wash,EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Water, Lauramidopropyl Betaine, Sodium Cocoamphoacetate, Glyceryl Oleate Citrate, Sodium Chloride, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Xanthan Gum, Citric Acid, Allantoin, Niacinamide, Decyl Glucoside, Lauryl Glucoside, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hexylene glycol, Boswellia Carterii Oil (Frankincense oil), Anthemis Nobilis Flower Oil (Chamomile oil)
Warnings from packaging:
Patch test and discontinue use if irritation occurs.","EWG Verified,Product's animal testing policies,Unknown"
Wash with Water,"Wash with Water 3-in-1 Baby Cleanser, Unscented",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Aqua, Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Organic Aloe Barbadensis (Aloe Vera) Leaf Juice, Organic Argania Spinosa (Argan) Kernel Oil, Organic Butyrospermum Parkii (Shea) Butter, Organic Cocos Nucifera (Coconut) Oil, Organic Theobroma Cacao (Cocoa) Seed Butter, Organic Molasses, Capryloyl Glycine, Organic Rosmarinus Officinalis (Rosemary) Leaf Extract, Organic Calendula Officinalis Oil, Guar Hydroxypropyltrimonium Chloride, Potassium Sorbate, Xanthan Gum, Sodium Chloride, Citric Acid.
Warnings from packaging:
For external use only. Avoid contact with eyes. If any adverse reaction develops, stop use and contact your physician.","EWG Verified,Product's animal testing policies,Leaping Bunny"
thinkbaby,Thinkbaby Bubble Bath,EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
PURIFIED WATER , COCAMIDOPROPYL HYDROXYSULTAINE , SODIUM METHYL 2-SULFOLAURATE, DISODIUM 2-SULFOLAURATE , ALOE BARBADENSIS LEAF JUICE , GLYCERIN (VEGETABLE) , CAPRYLYL GLYCOL , PANTHENOL, ALLOTOIN, CHAMOMILE RECUTITA (MATRICARIA) FLOWER EXTRACT , CALENDULA OFFICINALIS FLOWER EXTRACT, ARNICA MONTANA EXTRACT , BETA GLUCAN , HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Baby Leaves Bubble Wash, Pear Nectar",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Aqua / water / eau, sodium coco-sulfate, coco-glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, moringa oleifera seed extract, maltodextrin, cyamopsis tetragonoba (guar) gum, gamma-undecalactone (sweet fruit), ethyl acetate (pear).
Warnings from packaging:
FOR EXTERNAL USE ONLY.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Hello Bello,"Hello Bello Premium Bubble Bath, Calming Soft Lavender",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Water, Sodium Laurylglucosides Hydroxypropylsulfonate, Cocamidopropyl Hydroxysultaine, Coco-Glucoside, Sodium Methyl Cocoyl Taurate, Glycerin, Potassium Cocoyl Glycinate, Aloe Barbadensis Leaf Juice*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Persea Gratissima (Avocado) Fruit Extract*, Calendula Officinalis Flower Extract*, Cucumis Sativus (Cucumber) Fruit Extract*, Lavandula Angustifolia (Lavender) Oil, Potassium Cocoate, 1,2-Hexanediol, Hydroxyacetophenone, Dehydroacetic Acid, Citric Acid, Trisodium Ethylenediamine Disuccinate
*Organic
Warnings from packaging:
Use Your Noggin: External use only. Avoid eye contact. Stop use if negative effects develop.","EWG Verified,Product's animal testing policies,Unknown"
Babo Botanicals,"Babo Botanicals Sensitive Baby Bubble Bath, Wash & Shampoo, Fragrance Free",EWG Verified,Baby Bubble Bath,,,,,"Ingredients from packaging:
Water (Aqua), Glycerin, Coco Betaine, Coco-Glucoside, Sodium Lauroyl Methyl Isethionate, Aloe Barbadensis (Aloe Vera) Leaf Juice* , Sodium Methyl Cocoyl Taurate, Argania Spinosa (Argan) Kernel Oil*, Butyrospermum Parkii (Shea) Butter*, Cocos Nucifera (Coconut) Oil*, Avena Sativa (Oat) Kernel Oil, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Capryloyl Glycine, Xanthan Gum, Potassium Sorbate, Sodium Chloride, Citric Acid, Guar Hydroxypropyltrimonium Chloride.
Warnings from packaging:
For external use only. Avoid Eye Area. Discontinue use if irritation or redness occurs. Keep out of
reach of children.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
