Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Whamisa,Whamisa Organic Flowers Lip Moisture,EWG Verified,Lip Balm,,,,,"Ingredients from packaging:
*Astrocaryum Murumuru Seed Butter, *Butyrospermum Parkii (Shea) Butter, *Olea Europaea (Olive) Fruit Oil, *Beeswax, *Calendula Officinalis Flower Oil, Euphorbia Cerifera (Candelilla) Wax, **Caprylic/Capric Triglyceride, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Camellia Japonica Seed Oil, Alkanna Tinctoria Root Extract, Helianthus Annuus (Sunflower) Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, **Tocopherol, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, p-Methoxybenzaldehyde, Hexyl Acetate, Vanillin, Phenylacetic Acid, Gamma-Undecalactone
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Fruits Body Butter,EWG Verified,Moisturizer,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, *Corylus Avellana (Hazel) Seed Oil, *Olea Europaea (Olive) Fruit Oil, *Beeswax, **Cetyl Alcohol, *Astrocaryum Murumuru Seed Butter, *Butyrospermum Parkii (Shea) Butter, *Pyrus Malus (Apple) Fruit Extract, **Cetearyl Alcohol, *Persea Gratissima (Avocado) Oil, *Saccharomyces/Apple/Sucrose Ferment Filtrate, *Lactobacillus/Musa Sapientum (Banana) Fruit Ferment Filtrate, **Cetearyl Olivate, **Sorbitan Olivate, *Citrus Junos Fruit Extract, *Lactobacillus/Rubus Idaeus (Raspberry) Fruit Ferment Filtrate, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, ^Silica, Lavandula Angustifolia (Lavender) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, p-Methoxybenzaldehyde, Hexyl Acetate, Vanillin, Phenylacetic Acid, Gamma-Undecalactone, Beta-Ionone
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Seeds Hydrogel Mask,EWG Verified,Mask,,,,,"Ingredients from packaging:
[Sheet] Water, *Hordeum Vulgare Seed Extract, *Aloe Maculata Leaf Extract, Ceratonia Siliqua Gum, *Lactobacillus/Rice Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Phaseolus Angularis Seed Ferment Filtrate, *Lactobacillus/Glycine Soja (Soybean) Ferment Filtrate, Xanthan Gum, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract; [Essence] *Aloe Maculata Leaf Extract, *Lactobacillus/Hordeum Vulgare Seed Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Phaseolus Angularis Seed Ferment Filtrate, *Lactobacillus/Glycine Soja (Soybean) Ferment Filtrate, *Lactobacillus/Sesamum Indicum (Sesame) Seed Ferment Filtrate, *Corylus Avellana (Hazel) Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Lavandula Angustifolia (Lavender) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, ****Adenosine.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. Use immediately after opening. One time use only. For external use. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Seeds Shampoo (Dry Scalp),EWG Verified,Shampoo,,,,,"Ingredients from packaging:
*Hordeum Vulgare Seed Extract, **Palm Kernel/Coco Glucoside, **Decyl Glucoside, **Lauryl Glucoside, *Aloe Maculata Leaf Extract, *Corylus Avellana (Hazel) Seed Oil, *Camellia Japonica Seed Oil, **Caprylic/Capric Triglyceride, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Saccharomyces/Barley Seed Ferment Filtrate, *Lactobacillus/Glycine Soja (Soybean) Ferment Filtrate, Acorus Calamus Root Extract, *Phaseolus Angularis Seed Extract, *Glycine Soja (Soybean) Seed Extract, *Camellia Sinensis Leaf Extract, *Lactobacillus/Sesamum Indicum (Sesame) Seed Ferment Filtrate, Xanthan Gum, *Coix Lacryma-Jobi Ma-yuen Seed Extract, Lactobacillus/Turmeric Ferment Filtrate, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, **Gluconolactone, Sodium Citrate, Salvia Officinalis (Sage) Oil, Cedrus Atlantica (Cedarwood) Bark Oil, p-Methoxybenzaldehyde, gamma-Undecalactone, beta-lonone, Hexyl acetate, Vanillin, Paeonia Officinalis Root/Stem.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children. Avoid contact with eyes.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Aloe Baby Hair & Body Cleanser,EWG Verified,Baby Shampoo,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, **Decyl Glucoside, **Disodium Cocoyl Glutamate, **Palm Kernel/Coco Glucoside, *Camellia Japonica Seed Oil, *Lactobacillus/Maculata Leaf Aloe Barbadensis Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Helichrysum Italicum Extract, *Coix Lacryma-Jobi Ma-yuen Seed Extract, *Avena Sativa (Oat) Kernel Extract, *Rhodiola Rosea Root Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Olea Europaea (Olive) Leaf Extract, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Cyamopsis Tetragonoloba (Guar) Gum, Sodium Chloride, Jasminum Grandiflorum (Jasmine) Oil, Salvia Officinalis (Sage) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Aniba Rosaeodora (Rosewood) Wood Oil.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use. Keep out of reach of children. Avoid contact with eyes.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Seeds Hair Essence,EWG Verified,Hair Treatment/Serum,,,,,"Ingredients from packaging:
*Hordeum Vulgare Seed Extract, *Glycine Soja (Soybean) Seed Extract, *Argania Spinosa Kernel Oil, **Caprylic/Capric Triglyceride, Acorus Calamus Root Extract, *Aloe Maculata Leaf Extract, *Olea Europaea (Olive) Fruit Oil, *Vigna Radiata Seed Extract, *Saccharomyces/Barley Seed Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Camellia Japonica Seed Oil, *Lactobacillus/Sesamum Indicum (Sesame) Seed Ferment Filtrate, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Xanthan Gum, Jasminum Grandiflorum (Jasmine) Oil, Salvia Officinalis (Sage) Oil, p-Methoxybenzaldehyde, gamma-Undecalactone, beta-lonone, Hexyl acetate, Vanillin.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Fruits Hydrogel Mask,EWG Verified,Mask,,,,,"Ingredients from packaging:
[Sheet] Water, *Aloe Maculata Leaf Extract, Ceratonia Siliqua Gum, *Lactobacillus/Pyrus Malus (Apple) Fruit Ferment Filtrate, *Lactobacillus/Citrus Junos Fruit Ferment Filtrate, *Lactobacillus/Actinidia Chinensis (Kiwi) Fruit Ferment Filtrate, *Lactobacillus/Musa Sapientum (Banana) Fruit Ferment Filtrate, Xanthan Gum, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract; [Essence] *Aloe Maculata Leaf Extract, *Lactobacillus/Pyrus Malus (Apple) Fruit Ferment Filtrate, *Lactobacillus/Citrus Junos Fruit Ferment Filtrate, *Lactobacillus/Actinidia Chinensis (Kiwi) Fruit Ferment Filtrate, *Lactobacillus/Musa Sapientum (Banana) Fruit Ferment Filtrate, *Lactobacillus/Rubus Idaeus (Raspberry) Fruit Ferment Filtrate, *Lactobacillus/Tomato Fruit Ferment Extract, *Corylus Avellana (Hazel) Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Honey, Xanthan Gum, Lavandula Angustifolia (Lavender) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. Use immediately after opening. One time use only. For external use. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Leaf/Root Lotion for Men,EWG Verified,Moisturizer,,,,,"Ingredients from packaging:
*Bambusa Vulgaris Extract, *Aloe Maculata Leaf Extract, *Olea Europaea (Olive) Fruit Oil, *Butyrospermum Parkii (Shea Butter), *Corylus Avellana (Hazel) Seed Oil, *Argania Spinosa Kernel Oil, **Cetearyl Olivate, **Sorbitan Olivate, **Cetearyl Alcohol, **Cetyl Alcohol, *Lactobacillus/Saururus Chinensis Leaf/Root Fement Filtrate, *Lactobacillus/Camellia Sinensis Leaf Fement Filtrate, *Lactobacillus/Dioscorea Opposita (Wild Yam) Root Fement Filtrate, *Lactobacillus/Angelica Keiskei Leaf/Stem Fement Filtrate, *Houttuynia Cordata Extract, *Centella Asiatica Extract, Lactobacillus/Turmeric Ferment Filtrate, *Pyrus Malus (Apple) Fruit Extract, *Beeswax, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Kaolin, **Caprylic/Capric Triglyceride, **Xanthan Gum, Citrus Nobilis(Mandarin Orange) Peel Oil, Lavandula Angustifolia(Lavender) Oil, Rosmarinus Officinalis(Rosemary) Leaf Oil, Citrus Aurantium Dulcis (Sweet Orange) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, p-Methoxybenzaldehyde, Hexyl acetate, Vanillin, Phenylacetic acid, gamma-Undecalactone.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Flowers/Apple Sebum Treatment,EWG Verified,Facial Moisturizer/Treatment,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, *Pyrus Malus (Apple) Fruit Extract, *Camellia Japonica Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, **Titanium Dioxide, *Citrus Junos Fruit Extract, Xanthan Gum, *Centella Asiatica Extract, *Houttuynia Cordata Extract, *Cucumis Sativus (Cucumber) Fruit Extract, *Camellia Sinensis Leaf Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelon) Rhizome/Root Ferment Filtrate, Capryloyl Salicylic Acid, **Spirulina Platensis Extract, Lavandula Angustifolia (Lavender) Oil, Cymbopogon (Lemon Grass) Oil, Citrus Aurantium Dulcis (Sweet Orange) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Aloe Baby Lotion,EWG Verified,Baby Lotion,,,,,"Ingredients from packaging:
*Aloe Maculata Leaf Extract, *Olea Europaea (Olive) Fruit Oil, *Corylus Avellana (Hazel) Seed Oil, *Camellia Japonica Seed Oil, *Butyrospermum Parkii (Shea Butter), **Cetearyl Olivate, **Sorbitan Olivate, **Cetearyl Alcohol, **Cetyl Alcohol, Daucus Carota Sativa (Carrot) Seed Oil, *Lactobacillus/Maculata Aloe Leaf/Molasses Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Helichrysum Italicum Extract, *Coix Lacryma-Jobi Ma-yuen Seed Extract, *Avena Sativa (Oat) Kernel Extract, *Rhodiola Rosea Root Extract, *Brassica Oleracea Italica (Broccoli) Extract, *Olea Europaea (Olive) Leaf Extract, *Beeswax, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, **Kaolin, **Caprylic/Capric Triglyceride, Jasminum Grandiflorum (Jasmine) Oil, Salvia Officinalis (Sage) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Aniba Rosaeodora (Rosewood) Wood Oil.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
