Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
ATTITUDE,"ATTITUDE Toothpaste, Complete Care",EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
Active ingredient: sodium fluoride 0.243%, Inactive ingredients: sorbitol, aqua, glycerin, hydrated silica, sodium lauryl sulfate, gaultheria procumbens (wintergreen) leaf oil*, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, carica papaya leaf extract, camellia sinensis (green tea) leaf extract, sodium bicarbonate, titanium dioxide, potassium sorbate, hydroxyapatite, D-limonene
Warnings from packaging:
: Keep out of reach of children. If swallowed, call a poison control centre or get medical help right away.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
ATTITUDE,"ATTITUDE Toothpaste, Whitening",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
Active ingredient: sodium fluoride 0.243%, Inactive ingredients: sorbitol, aqua, glycerin, hydrated silica, sodium lauryl sulfate, mentha piperita (peppermint) oil*, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, carica papaya leaf extract, camellia sinensis (green tea) leaf extract, titanium dioxide, potassium sorbate, hydroxyapatite, D-limonene
Warnings from packaging:
: Keep out of reach of children. If swallowed, call a poison control centre or get medical help right away.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Better &amp; Better,"Better & Better Remarkably Pure Toothpaste, Bettermint",EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
Organic Vegetable Glycerin, Water (Aqua), Calcium Carbonate, Organic Cocos Nucifera (Coconut) Oil, Organic Cocos Nucifera (Coconut) Fruit Powder, Organic Xylitol, Sodium Cocoyl Glutamate, Sodium Bicarbonate (Baking Soda), Leuconostoc/Radish Root Fermant Filtrate, Organic Mentha Spicata (Spearmint) Leaf Oil, Agave Tequilana (Blue Agave) Stem Extract, Organic Mentha Piperita (Peppermint) Oil, Sodium Chloride (Salt), Organic Stevia Rebaudiana Leaf/Stem Extract, Xanthan Gum, Organic Menthol","EWG Verified,Product's animal testing policies,Unknown"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Peppermint + Charcoal",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), cocos nucifera (coconut) oil, activated charcoal, carrageenan (seaweed extract), sodium cocoyl glutamate, mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, pimpinella anisum (anise) seed extract, gaultheria procumbens (wintergreen) leaf oil, stevia (leaf extract)","EWG Verified,Product's animal testing policies,Unknown"
ATTITUDE,"ATTITUDE Toothpaste for Kids, Fluoride Free, Mango",EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
Sorbitol, aqua, glycerin, hydrated silica, sodium methyl cocoyl taurate, xanthan gum, citric acid, stevia rebaudiana leaf/stem extract, sodium benzoate, carica papaya (papaya) leaf extract, camellia sinensis (green tea) leaf extract, potassium sorbate, sodium chloride, caprylic / capric triglyceride*, vanillin*, 3-hexenol*, hexyl hexanoate*, hexenyl acetate*, gamma-decalactone*, hexyl acetate*
Warnings from packaging:
Caution: Do not use if safety seal is missing or broken. Use as directed.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
WITH MY,WITH MY Spearmint Toothpaste,EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
Hydrated Silica, Tocopheryl Acetate, Mentha Virdis (Spearmint) Oil, Melaleuca Alternifolia (Tea Tree) Oil, Organic Rosmarinus Officinalis (Rosemary) Extract, Punica Granatum (Pomegranate) Extract, Artemisia Vulgaris (Mugwort) Extract, Pistacia Lentiscus (Mastic) Oil, Chaenomeles Sinensis (Quince) Extract, Camellia Sinensis Leaf Extract (Green Tea) Extract, Glycyrrhiza Glabra (Licorice) Extract, Paeonia Suffruticosa (Peony) Root Extract, Chamaecyparis Obtusa (Hinoki) Oil, Eucalyptus Globulus Leaf Oil, Xylitol, Sorbitol, Aqua, Chamomilla Recutita (Chamomile) Extract, Perilla Frutescens (Sesame) Leaf Extract, Sodium Methyl Cocoyl Taurate, Menthol, Sodium Bicarbonate (Baking Soda), Stevioside, Cellulose Gum, Organic Calendula Officinalis Extract
Warnings from packaging:
None","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Happy,"HAPPY Toothpaste, Unflavored",EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
hydroxyapatite, erythritol, baking soda, calcium carbonate, calcium lactate, calcium silicate, purified water (distilled), organic aloe vera leaf juice, organic extra virgin coconut oil, guar gum","EWG Verified,Product's animal testing policies,Unknown"
Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Herbal Citrus Peppermint",EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
calcium carbonate (limestone abrasive), purified water, sodium bicarbonate (baking soda), vegetable glycerin, hydrated silica, xylitol (birch derived), sodium cocoyl glutamate, carrageenan (seaweed extract), mentha piperita (peppermint) oil, menthol, elettaria cardamomum seed oil, illicium verum (anise) fruit oil, eucalyptus globulus leaf oil, citrus aurantium amara (orange) peel oil, eugenia caryophyllus (clove) flower oil, citrus limon (lemon) fruit oil, cinnamomum zeylanicum bark oil, capsicum fretescens (cayenne), stevia (leaf extract)","EWG Verified,Product's animal testing policies,Unknown"
Happy,HAPPY Tooth Powder with Xylitol,EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
hydroxyapatite, xylitol, baking soda, calcium carbonate,calcium lactate, calcium silicate
Warnings from packaging:
none","EWG Verified,Product's animal testing policies,Unknown"
Modere,Modere Toothpaste REFRESH,EWG Verified,Toothpaste,,,,,"Ingredients from packaging:
Sorbitol, water, hydrated silica, xylitol, sodium coco-sulfate, mentha piperita (peppermint) oil, calcium glycerophosphate, cellulose gum, arginine, rebaudioside A, sodium chlorite, chlorophyllin-copper complex.
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Arganat,ARGANAT ALL NATURAL CLAY TOOTHPASTE PEPPERMINT WHITENING,EWG Verified,Tooth Whitening,,,,,"Ingredients from packaging:
GREEN ILLITE (FRENCH GREEN CLAY), AQUA, KAOLIN (WHITE CLAY), ARGANIA SPINOZA OIL, JUGLANS REGIA (WALNUT) BARK EXTRACT, MARIS SAL, COMMIPHORA MYRRHA (MYRRH) EXTRACT, THYMUS VULGARIS (THYME) LEAF EXTRACT, ORIGANUM VULGARE FLOWER EXTRACT, SALVIA OFFICINALIS (SAGE) OIL, THYMUS VULGARIS (THYME) LEAF OIL, ROSMARINUS OFFICINALIS (ROSEMARY) LEAFOIL, ORIGANUM VULGARE LEAF OIL, MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL, MENTHA PEPERITA LEAF (FRENCH PEPPERMINT) OIL","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
