Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Missha,Missha Near Skin Simple Therapy Essence Lotion (2018 formulation),01,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water, Glycerin, Camellia Japonica Seed Oil, 1,2-Hexanediol, Cetearyl Alcohol, Glyceryl Stearate, Polyglyceryl-3 Methylglucose Distearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Carbomer, Tromethamine, Disodium EDTA, Peucedanum Graveolens (Dill) Extract","Product's animal testing policies,Unknown"
Missha,Missha Time Revolution The First Treatment Essence (2018 formulation),03,Serums & Essences,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Saccharomyces Ferment Filtrate, Bigida Ferment Lysate, Propanediol, Niacinamide, Polyquaternium-51, Ulmus Davidiana Root Extract, Betaine, Amaranthus Caudatus Seed Extract, Pirper Methysticum Leaf/Root/Stem Extract, Beta vulgaris (Beet) Root extract, Phellodendron Amurense Bark Extract, Cassia Alata Leaf Extract, Hydrogenated Lecithin, Sodium Hyaluronate, Pentylene Glycol, Water, Trehalose, Disodium EDTA, Hydrolyzed Corn Starch, Adenosine, Ethylhexylglycerin, Butylene Glycol, Glycerin, Raffinose, Tromethamine, Acetic Acid, Lactic Acid, 1, 2-Hexanediol, Caprytyl Glycol, Hexapeptide-9 Phenoxyethanol, Potassium Sorbate","Product's animal testing policies,Unknown"
Missha,Missha Near Skin Moist Lab Essence (2018 formulation),02,Serums & Essences,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Water(Aqua), Butylene Glycol, Pentylene Glycol, Caprylic/Capric Triglyceride, Squalane, Glycerin, Cyclopentasiloxane, Betaine, Dimethicone, Cetearyl Alcohol, Stearic Acid, Saccharide Isomerate, Glutamic Acid, Aspartic Acid, Lysine, Arginine, Hydrolyzed Collagen, Cholesterol, Ceramide NP, Sodium Hyaluronate, Algae Extract, Panthenol, Glyceryl Stearate, Polyglyceryl-3 Methylglucose Distearate, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Glyceryl Stearate SE, Polysorbate 60, Dimethicone/Vinyl Dimethicone Crosspolymer, Polyacrylate-13, Xanthan Gum, Polyisobutene, Ethylhexylglycerin, Bis-PEG-18 Methyl Ether Dimethyl Silane, Polysorbate 20, 1,2-Hexanediol, PEG-100 Stearate, Disodium EDTA, Lecithin","Product's animal testing policies,Unknown"
Missha,Missha Purifying Foaming Cleanser (2019 formulation),04,Facial Cleanser,MODERATE,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, LAURIC ACID, MYRISTIC ACID, POTASSIUM HYDROXIDE, DISODIUM COCOAMPHODIACETATE, STEARIC ACID, COCAMIDE DEA, ACRYLATES COPOLYMER, BUTYLENE GLYCOL, MENTHOL, PYRUS MALUS (APPLE) FRUIT EXTRACT, CENTELLA ASIATICA EXTRACT, PORTULACA OLERACEA EXTRACT, BUTYROSPERMUM PARKII (SHEA) BUTTER, GENTIANA LUTEA ROOT EXTRACT, ACHILLEA MILLEFOLIUM EXTRACT, ARTEMISIA ABSINTHIUM EXTRACT, ARNICA MONTANA FLOWER EXTRACT, VITEX AGNUS CASTUS EXTRACT, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, AGRIMONIA EUPATORIA EXTRACT, SODIUM COCOYL ISETHIONATE, STYRENE/VP COPOLYMER, GLYCERYL OLEATE, LAURYL GLUCOSIDE, COCO-GLUCOSIDE, COCAMIDOPROPYL BETAINE, CAPRYLYL GLYOL, 4-TERPINEOL, SALICYLIC ACID, ALLANTOIN, LECITHIN, AZELAIC ACID, PHYTOSTEROLS, BETA-SITOSTEROL, CAPRYLIC/CAPRIC TRIGLYCERIDE, CERAMIDE 3, SQUALANE, ASIATICOSIDE, ALCOHOL, DISODIUM EDTA, PHENOXYETHANOL, POTASSIUM SORBATE","Product's animal testing policies,Unknown"
Missha,"Missha Time Revolution The First Treatment Essence, Intensive Moist (2018 formulation)",03,Serums & Essences,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Saccharomyces Ferment Filtrate, Bifida Ferment Lysate, Water, Diethoxyethyl Succinate, Niacinamide, Hordeum Distichon (Barley) Extract, Phenoxyethanol, Dipropylene Glycol, Dimethicone, Glycerin, Polyquaternium-51, 1,2-Hexanediol, Adenosine, Lecithin, Potassium Sorbate, Cassia Alata Leaf Extract, Lactic Acid, Acetic Acid","Product's animal testing policies,Unknown"
Missha,Missha Aloe Pure Source Cell Sheet Mask (2019 formulation),04,Mask,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, GLYCERIN, BUTYLENE GLYCOL, ALCOHOL DENAT., LACTOBACILLUS/ALOE BARBADENSIS FERMENT FILTRATE, BETAINE, ALLANTOIN, CAPRYLYL GLYCOL, TRIETHANOLAMINE, CARBOMER, PHENYL TRIMETHICONE, HYDROLYZED JOJOBA ESTERS, PEG-40 HYDROGENATED CASTOR OIL, CAPRYLHYDROXAMIC ACID, HYDROXYETHYLCELLULOSE, TRIDECETH-9, HEXADIMETHRINE CHLORIDE, ERIOBOTRYA JAPONICA LEAF EXTRACT, SUCROSE, HYDROLYZED CHITOSAN, 1,2-HEXANEDIOL, ETHYLHEXYLGLYCERIN, SODIUM HYALURONATE, MINERAL SALTS, PHYTIC ACID, TOCOPHERYL ACETATE, CHLORPHENESIN, FRAGRANCE","Product's animal testing policies,Unknown"
Missha,Missha Near Skin Dustless Defense Serum (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water, Dimethicone/Vinyl Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Alcohol, Niacinamide, Pentylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C12-14 Pareth-12, Fragrance(Parfum), Panthenol, Tromethamine, Caprylic/Capric Triglyceride, Butylene Glycol, Dipropylene Glycol, Sodium PCA, Adenosine, Hydrogenated Lecithin, Disodium EDTA, Ceramide NP, PEG-40 Hydrogenated Castor Oil, Aspalathus Linearis Extract, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Jasminum Officinale (Jasmine) Extract, Melissa Officinalis Leaf Extract, Rosmarinus Officinalis (Rosemary) Extract, Sodium Hyaluronate, Thymus Vulgaris (Thyme) Extract","Product's animal testing policies,Unknown"
Missha,Missha For Men Sebum Breaker Control Serum (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water, Alcohol Denat., Dimethicone/Vinyl Dimethicone Crosspolymer, Glycerin, Pentylene Glycol, Silica, Water, 1,2-Hexanediol, HDI/Trimethylol Hexyllactone Crosspolymer, Butylene Glycol, Propanediol, Phenoxyethanol, Polymethylsilsesquioxane, Carbomer, Tromethamine, Pyrus Malus (Apple) Fruit Water, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Fragrance(Parfum), Isoceteth-10, Isoceteth-25, Disodium EDTA, Xanthan Gum, Bambusa Vulgaris Extract, Camellia Sinensis Leaf Extract, Melissa Officinalis Extract, Centella Asiatica Extract, Mentha Piperita (Peppermint) Extract, Sodium Hyaluronate, Polyglutamic Acid, Ethylhexylglycerin","Product's animal testing policies,Unknown"
Missha,Missha Super Aqua Snail Cream (2018 formulation),05,Facial Moisturizer/Treatment,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
SNAIL SECRETION FILTRATE, DIMETHICONE, GLYCERIN, ALCOHOL, ADANSONIA DIGITATA SEED EXTRACT, ARBUTIN, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, PEG-11 METHYL ETHER DIMETHICONE, SEA WATER, PORTULACA OLERACEA EXTRACT, ETHYLHEXYL ISONONANOATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, CARBOMER, TRIETHANOLAMINE, PEG-40 HYDROGENATED CASTOR OIL, PPG-26-BUTETH-26, CAPRYLYL GLYCOL, ETHYLHEXYLGLYCERIN, TOCOPHERYL ACETATE, ADENOSINE, DISODIUM EDTA, CENTELLA ASIATICA MERISTEM CELL CULTURE, XANTHAN GUM, FRAGRANCE, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, BUTYLPHENYL METHYLPROPIONAL, LINALOOL, LIMONENE","Product's animal testing policies,Unknown"
Missha,Missha MISA Cho Gong Jin Essence (2018 formulation),05,Serums & Essences,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Phellinus Linteus Extract, Glycerin, Dipropylene Glycol, Butylene Glycol, Alcohol, Water, Niacinamide, Polyglycerin-3, PEG-150, Dimethicone, Panthenol, Pentylene Glycol, Diethoxyethyl Succinate, Butyrospermum Parkii (Shea) Butter, Saccharum Officinarum (Sugarcane) Extract, Chondrus Crispus Extract, Phenoxyethanol, Tromethamine, PEG-60 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Fragrance(Parfum), Sodium Polyacrylate, Xanthan Gum, Hydrogenated Lecithin, Glyceryl Polyacrylate, Steareth-20, Adenosine, Melia Azadirachta Flower Extract, Ethylhexylglycerin, Dextrin, Melia Azadirachta Leaf Extract, Theobroma Cacao (Cocoa) Extract, Hydrolyzed Corn Starch, Disodium EDTA, 1,2-Hexanediol, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Soy Isoflavones, Sucrose, Pueraria Lobata Root Extract, Nelumbo Nucifera Seed Extract, Pueraria Mirifica Root Extract, Polygonum Cuspidatum Root Extract, Corallina Officinalis Extract, Panax Ginseng Root Extract, Cimicifuga Racemosa Root Extract, Angelica Polymorpha Sinensis Root Extract, Trifolium Pratense (Clover) Flower Extract, Punica Granatum Extract, Caprylyl Glycol, Cornus Officinalis Fruit Extract, Thymus Vulgaris (Thyme) Extract, Angelica Acutiloba Root Extract, Rehmannia Chinensis Root Extract, Velvet Extract, Panax Ginseng Root Extract
Warnings from packaging:
For external use only. Do not swallow. Keep out of reach of children. Avoid contact with eyes.","Product's animal testing policies,Unknown"
