Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Semblance for Men,Semblance For Men Foaming Beard & Face Wash,01,Beard Cleanser,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Aqua, Cocamidopropyl Betaine, Coco Glucoside, Aloe Barbadensis, Glycerin, Maris Sal (Dead Sea Salt),Argania Spinosa (Argan) Kernal Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Benzyl alcohol-DHA, D-panthenol (ProVitamin B5), XanthanGum, Citric Acid.
Warnings from packaging:
For external use only. Avoid contact with eyes. Store out of reach of children. Discontinue use if irritation occurs. Allergy Suffers Test Before Use.","Product's animal testing policies,Unknown"
Nature&#39;s Promise,"Nature's Promise Men Beard & Face Wash, Unscented",01,Beard Cleanser,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
DEIONIZED WATER, SODIUM C14-16 OLEFIN SULFONATE, COCOMIDOPROPYL HYDROXYSULTAINE, SODIUM LAUROYL METHYL ISETHIONATE, SEA SALT, CAPRYLHYDROXAMIC ACID, CAPRYLYL GLYCOL, GLYCERIN, ALOE BARBADENSIS LEAF JUICE, CITRIC ACID.","Product's animal testing policies,Unknown"
Butter Me Up Organics,Butter Me Up Organics Organic Beard Wash,01,Beard Cleanser,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Saponified Coconut Oil*, Olive Oil*, Camelina Oil*, Coconut Oil*, Jojoba Oil*, Cedarwood Oil*, Sandalwood EO*, Patchouli EO*","Product's animal testing policies,Unknown"
Whiskey &#39;N Hardtack,Whiskey N Hardtack Greenhorn - Unscented Beard Wash,02,Beard Cleanser,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Organic Aloe Leaf Juice, Sodium Lauryl Sulfoacetate, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Glycerin, Phenoxyethanol, Tetrasodium Glutamate Diacetate","Product's animal testing policies,Unknown"
goodline grooming co.,Goodline Grooming Co. Daily Face and Beard Wash,03,Beard Cleanser,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, SODIUM C14-16 OLEFIN SULFONATE, COCAMIDOPROPYL BETAINE, GLYCOL DISTEARATE, SODIUM CHLORIDE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, POGOSTEMON CABLIN (PATCHOULI) OIL, EUCALYPTUS GLOBULUS LEAF OIL, MENTHA PIPERITA (PEPPERMINT) OIL, PIPER NIGRUM (PEPPER) SEED OIL, ALOE BARBADENSIS LEAF JUICE, XANTHAN GUM, SCLEROTIUM GUM, LECITHIN, PULLULAN, TOCOPHERYL ACETATE, TETRAHEXYLDECYL ASCORBATE, HYDROXYETHYLCELLULOSE, GLYCERIN, DISODIUM EDTA","Product's animal testing policies,PETA Cruelty-free Companies"
Smitty&#39;s,Smitty's by Angie Watts Beard wash,03,Beard Cleanser,LOW,HIGH,MODERATE,MODERATE,"Ingredients from packaging:
Aqua (Water), Potassium Oleate (Derived from Organic Sunflower Oil), Potassium Cocoate (Derived from Organic Coconut Oil), Potassium Citrate, Vegetable Glycerin, Citric Acid (natural preservative derived from citrus fruits), Butyrospermum Parkii (Shea Butter) Oil, Ricinus Communis (Black Castor) Seed Oil, Camellia Oleifera (Camellia) Seed Oil, Aloe Barbadensis (Aloe) Leaf Oil, Melaleuca Alternafolia (Tea Tree) Leaf Oil Lavandula Angustifolia (Lavender) Oil, Mentha Piperita (Peppermint) Oil.","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Alodia,Alodia Men's Nourish & Heal Organic Black Soap and Beard Wash,03,Beard Cleanser,MODERATE,HIGH,LOW,LOW,"Ingredients from packaging:
Water, Organic Aloe Barbadensis Leaf Juice, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Potash (Ashes of plantain skins, cocoa pods, shea tree bark), Palm Oil, Palm Kernel Oil, Melaleuca alternifolia (Tea Tree) Oil, Lemongrass Oil, Cypress, Lavender Oil, Peppermint Oil.erita (Peppermint) Oil, Ocimum Basillicum (Basil) Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil.","Product's animal testing policies,Unknown"
Kim Chi Chic Beauty,"KimChi Chic Beauty Glazed 2 Go Pressed Pigment Duo, 05 Cinq",03,Beard Cleanser,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Talc, Mica, Synthetic Fluorphlogopite, Magnesium Stearate, Dimethicone, Pentaerythrityl Tetraisostearate, Isopropyl Isostearate, Ethylhexyl Palmitate, Synthetic Wax, Polyisobutene, Mineral Oil (Parrafinium Liquidum), Ethylhexyl Stearate, Diisostearyl Malate, Phenoxyethanol, Tin Oxide, Butyl Methoxydibenzoylmethane, Water (Aqua), Diethylhexyl, Syringylidenemalonate, Ethylhexylglycerin, Stearic Acid, Tocopheryl, Caprylic/Capric Triglyceride. MAY CONTAIN: Red 6 (CI 15850), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891)","Product's animal testing policies,PETA Cruelty-free Companies"
,Peculiar Roots Beard Wash,03,Beard Cleanser,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Caprylic/Capric Triglyceride (Coconut Oil), Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Guar Gum, Vegetable Glycerin, Aloe barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Leaf Extract, Butyrospermum Parkii (Shea Butter), Citrus Aurantium Dulcis (Orange) Peel Oil, Grapefruit Peel Oil, Eugenia Caryophyllus (Clove) Flower Oil","Product's animal testing policies,Unknown"
Okaypurenaturals,Okay Pure Naturals Hair & Beard Castor Oil for Men,03,Beard Cleanser,LOW,HIGH,MODERATE,MODERATE,"Ingredients from packaging:
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, RICINUS COMMUNIS (CASTOR) SEED OIL, COCOS NUCIFERA (COCONUT) OIL, DIHEPTYL SUCCINATE, CAPRYLOYL GLYCERIN, SEBACIC ACID COPOLYMER, VITIS VINIFERA (GRAPE) SEED OIL, ARGANIA SPINOSA (ARGAN) NUT OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, GOSSYPIUM HERBACEUM (COTTON SEED) OIL, TRITICUM VULGARE (WHEAT) GERM OIL, EUCALYPTUS GLOBULUS LEAF OIL, BETA CAROTENO.","Product's animal testing policies,Unknown"
